Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
New York Knicks*,27.0,60,22,62,20,9.09,-0.66,8.42,100.3,92.4,+7.9,114.3,.311,,.520,,.477,,,.228,,,,,,,Madison Square Garden (IV),,
Milwaukee Bucks*,24.9,56,26,52,30,4.61,-0.36,4.25,102.1,98.1,+4.0,115.8,.322,,.531,,.488,,,.236,,,,,,,Milwaukee Arena,,
Philadelphia 76ers*,28.1,42,40,49,33,3.41,-0.10,3.32,100.5,97.7,+2.8,120.9,.346,,.520,,.469,15.2,,.260,,,,,,,The Spectrum,,
Baltimore Bullets*,26.4,50,32,46,36,2.12,-0.19,1.94,98.7,96.9,+1.8,121.0,.310,,.509,,.458,,,.239,,,,,,,Baltimore Civic Center,,
Los Angeles Lakers*,27.7,46,36,46,36,1.99,-0.23,1.76,99.1,97.4,+1.7,113.9,.332,,.512,,.461,,,.250,,,,,,,The Forum,"536,513",217
Atlanta Hawks*,27.3,48,34,42,40,0.41,-0.10,0.31,102.3,101.9,+0.4,114.4,.338,,.531,,.483,,,.254,,,,,,,Alexander Memorial Coliseum,,
Chicago Bulls*,26.3,39,43,37,45,-1.76,0.04,-1.71,97.6,99.1,-1.5,116.5,.352,,.502,,.444,,,.272,,,,,,,Chicago Stadium,,
Phoenix Suns*,25.4,39,43,37,45,-1.72,0.06,-1.66,101.6,103.1,-1.5,116.7,.416,,.526,,.468,,,.310,,,,,,,Arizona Veterans Memorial Coliseum,,
Boston Celtics,28.4,34,48,36,46,-1.85,0.26,-1.60,97.3,98.9,-1.6,117.5,.329,,.500,,.443,,,.259,,,,,,,Boston Garden,"277,632",
Seattle SuperSonics,27.6,36,46,35,47,-2.52,0.09,-2.43,100.0,102.1,-2.1,116.4,.355,,.516,,.462,,,.270,,,,,,,Seattle Center Coliseum,,
Cincinnati Royals,27.6,36,46,34,48,-2.95,0.41,-2.55,98.0,100.4,-2.4,118.5,.343,,.505,,.455,,,.252,,,,,,,Cincinnati Gardens,,
San Diego Rockets,25.3,27,55,34,48,-3.10,0.15,-2.95,94.4,96.8,-2.4,125.1,.308,,.483,,.436,,,.226,,,,,,,San Diego Sports Arena,,
Detroit Pistons,26.2,31,51,33,49,-3.32,0.37,-2.94,100.1,103.1,-3.0,111.6,.376,,.518,,.466,,,.276,,,,,,,Cobo Arena,,
San Francisco Warriors,26.7,30,52,30,52,-4.41,0.26,-4.15,94.8,98.6,-3.8,116.3,.322,,.485,,.432,,,.244,,,,,,,Oakland-Alameda County Coliseum Arena,,
League Average,26.8,,,41,41,0.00,0.00,0.00,99.0,99.0,,117.1,.339,,.511,,.460,15.2,,.255,,,,,,,,"407,073","1,584"
