Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
Boston Celtics*,28.3,58,22,56,24,7.18,-0.80,6.38,93.0,87.4,+5.6,127.3,.316,,.475,,.427,,,.229,,,,,,,Boston Garden,"262,581",
Syracuse Nationals*,26.7,48,32,49,31,3.79,-0.39,3.40,98.4,95.3,+3.1,123.3,.362,,.506,,.445,,,.283,,,,,,,Onondaga War Memorial,,
Los Angeles Lakers*,26.2,53,27,48,32,3.13,-0.46,2.67,97.4,94.7,+2.7,117.8,.369,,.500,,.441,,,.281,,,,,,,Los Angeles Memorial Sports Arena,"285,462",
St. Louis Hawks*,26.1,48,32,45,35,1.78,-0.39,1.38,94.8,93.3,+1.5,115.6,.362,,.486,,.431,,,.264,,,,,,,Kiel Auditorium,,
Cincinnati Royals*,26.0,42,38,43,37,1.26,-0.03,1.24,99.4,98.3,+1.1,119.0,.365,,.513,,.459,,,.273,,,,,,,Cincinnati Gardens,,
San Francisco Warriors,25.7,31,49,35,45,-2.09,0.22,-1.86,95.2,96.8,-1.6,123.2,.331,,.490,,.450,,,.221,,,,,,,Cow Palace,,
Detroit Pistons*,24.9,34,46,31,49,-3.70,0.32,-3.38,94.2,97.3,-3.1,120.3,.348,,.482,,.432,,,.250,,,,,,,Cobo Arena,,
Chicago Zephyrs,25.3,25,55,30,50,-4.09,0.45,-3.63,97.5,101.1,-3.6,112.2,.395,,.503,,.453,,,.276,,,,,,,Chicago Coliseum,,
New York Knicks,27.7,21,59,23,57,-7.25,1.06,-6.20,93.5,99.7,-6.2,117.5,.347,,.479,,.429,,,.246,,,,,,,Madison Square Garden (III),,
League Average,26.4,,,40,40,0.00,0.00,0.00,95.9,95.9,,119.6,.354,,.493,,.441,,,.258,,,,,,,,"274,022",
