Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
Portland Trail Blazers*,24.5,49,33,55,27,5.59,-0.20,5.39,103.2,98.0,+5.2,108.0,.334,,.530,,.481,16.9,33.4,.254,,.460,17.2,69.3,.255,,Memorial Coliseum,,
Denver Nuggets*,27.3,50,32,54,28,5.22,-0.27,4.95,100.7,96.1,+4.6,111.2,.373,,.531,,.481,18.8,34.2,.275,,.463,18.2,68.0,.211,,McNichols Sports Arena,,
Philadelphia 76ers*,25.6,50,32,51,31,3.94,-0.16,3.78,101.2,97.6,+3.6,108.3,.373,,.530,,.480,18.3,34.6,.275,,.451,16.7,66.0,.197,,The Spectrum,,
Golden State Warriors*,25.8,46,36,49,33,3.22,-0.12,3.10,102.4,99.5,+2.9,107.8,.277,,.518,,.475,15.6,33.0,.211,,.470,17.2,67.8,.224,,Oakland-Alameda County Coliseum Arena,,
Los Angeles Lakers*,27.2,53,29,48,34,2.72,-0.08,2.64,101.4,98.9,+2.5,104.7,.253,,.515,,.478,15.3,31.0,.188,,.452,15.6,66.1,.194,,The Forum,"501,434",
Houston Rockets*,25.8,49,33,45,37,1.61,-0.17,1.44,104.5,102.9,+1.6,101.3,.287,,.529,,.483,16.2,36.0,.226,,.465,14.3,70.1,.237,,The Summit,,
Cleveland Cavaliers*,27.4,43,39,44,38,1.12,-0.04,1.08,100.0,98.9,+1.1,101.5,.259,,.489,,.449,13.7,32.6,.191,,.449,15.7,68.1,.241,,Coliseum at Richfield,,
Washington Bullets*,27.4,48,34,44,38,1.02,-0.12,0.90,99.3,98.4,+0.9,105.9,.303,,.510,,.470,16.5,31.6,.217,,.458,14.9,70.3,.189,,Capital Centre,,
Kansas City Kings,25.9,40,42,43,39,0.88,0.05,0.93,100.5,99.6,+0.9,106.4,.277,,.509,,.460,15.4,30.9,.221,,.472,17.4,70.3,.264,,Kemper Arena,,
Chicago Bulls*,26.1,44,38,44,38,0.90,0.02,0.92,98.3,97.4,+0.9,100.0,.300,,.498,,.452,16.0,33.5,.224,,.466,16.8,71.9,.201,,Chicago Stadium,,
Phoenix Suns,26.6,34,48,43,39,0.73,-0.09,0.64,98.1,97.5,+0.6,106.6,.323,,.519,,.470,18.1,29.0,.247,,.462,18.1,67.9,.265,,Arizona Veterans Memorial Coliseum,,
San Antonio Spurs*,25.8,44,38,43,39,0.61,-0.08,0.53,102.5,102.0,+0.5,111.8,.329,,.538,,.485,16.8,29.2,.263,,.487,16.9,65.7,.187,,HemisFair Arena,,
New York Knicks,27.8,40,42,41,41,-0.01,0.03,0.01,100.1,100.1,0.0,108.1,.276,,.527,,.486,16.6,26.4,.211,,.470,15.7,69.7,.230,,Madison Square Garden (IV),,
Detroit Pistons*,25.8,44,38,38,44,-1.04,0.04,-1.00,100.3,101.3,-1.0,108.8,.252,,.518,,.483,16.6,30.7,.185,,.472,17.4,65.5,.256,,Cobo Arena,,
Seattle SuperSonics,25.0,40,42,37,45,-1.55,0.12,-1.43,96.7,98.2,-1.5,106.8,.312,,.491,,.450,16.8,33.8,.215,,.462,18.4,65.9,.254,,Seattle Center Coliseum,,
Indiana Pacers,25.6,36,46,36,46,-1.77,0.09,-1.68,99.3,101.0,-1.7,107.1,.293,,.495,,.449,15.4,33.7,.219,,.472,17.2,65.2,.223,,Market Square Arena,,
Boston Celtics*,28.7,44,38,36,46,-1.98,0.08,-1.90,96.5,98.3,-1.8,107.5,.281,,.491,,.445,16.1,31.1,.212,,.450,13.4,72.8,.204,,Boston Garden,"517,391",
New Orleans Jazz,26.1,35,47,33,49,-2.82,0.13,-2.68,97.0,99.7,-2.7,107.2,.287,,.501,,.453,16.6,31.0,.222,,.452,15.5,68.2,.238,,Louisiana Superdome,,269
Milwaukee Bucks,25.0,30,52,33,49,-3.12,0.13,-2.99,100.0,102.9,-2.9,108.3,.264,,.508,,.468,15.8,31.8,.198,,.479,15.8,66.6,.222,,MECCA Arena,,
Atlanta Hawks,24.5,31,51,30,52,-4.06,0.19,-3.87,97.8,101.6,-3.8,104.6,.342,,.508,,.457,17.7,32.9,.256,,.478,17.0,69.1,.267,,Omni Coliseum,,
Buffalo Braves,25.8,30,52,29,53,-4.44,0.16,-4.28,97.6,101.8,-4.2,107.3,.333,,.502,,.450,16.5,30.8,.252,,.478,15.5,67.4,.177,,Buffalo Memorial Auditorium,,
New York Nets,25.8,22,60,23,59,-6.78,0.24,-6.54,92.2,98.7,-6.5,103.7,.315,,.478,,.429,16.5,28.3,.232,,.464,17.5,68.9,.263,,Nassau Veterans Memorial Coliseum,,
League Average,26.1,,,41,41,0.00,0.00,0.00,99.5,99.5,,106.5,.301,,.511,,.465,16.5,31.8,.226,,.465,16.5,68.2,.226,,,"509,413",12
