Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
New York Knicks*,26.2,54,28,56,26,5.74,-0.26,5.48,98.4,93.3,+5.1,112.4,.332,,.507,,.459,,,.245,,,,,,,Madison Square Garden (IV),,
Boston Celtics*,30.5,48,34,55,27,5.57,-0.23,5.35,93.8,89.1,+4.7,117.5,.320,,.480,,.431,,,.233,,,,,,,Boston Garden,"322,130",
Philadelphia 76ers*,27.9,55,27,53,29,5.05,-0.26,4.79,98.1,93.9,+4.2,120.4,.373,,.506,,.454,13.6,,.270,,,,,,,The Spectrum,,
Los Angeles Lakers*,29.5,55,27,52,30,4.15,-0.30,3.84,98.5,94.9,+3.6,112.6,.415,,.511,,.469,,,.270,,,,,,,The Forum,"483,262",
Baltimore Bullets*,25.9,57,25,51,31,4.26,-0.21,4.05,95.2,91.7,+3.5,121.8,.319,,.488,,.440,,,.234,,,,,,,Baltimore Civic Center,,
Atlanta Hawks*,27.4,48,34,47,35,2.21,-0.15,2.06,97.4,95.5,+1.9,113.9,.355,,.503,,.460,,,.244,,,,,,,Alexander Memorial Coliseum,,
San Diego Rockets*,25.1,37,45,41,41,-0.20,-0.11,-0.30,92.7,92.8,-0.1,123.8,.352,,.474,,.428,,,.240,,,,,,,San Diego Sports Arena,,
Cincinnati Royals,27.9,41,41,38,44,-1.02,0.20,-0.83,100.2,101.1,-0.9,113.6,.389,,.518,,.460,,,.292,,,,,,,Cincinnati Gardens,,
San Francisco Warriors*,26.4,41,41,37,45,-1.63,0.10,-1.53,92.2,93.5,-1.3,117.1,.359,,.470,,.415,,,.258,,,,,,,Oakland-Alameda County Coliseum Arena,,
Chicago Bulls,25.7,33,49,35,47,-2.26,0.15,-2.11,92.0,94.0,-2.0,113.4,.321,,.469,,.418,,,.234,,,,,,,Chicago Stadium,,
Detroit Pistons,26.2,32,50,33,49,-3.16,0.37,-2.79,97.3,100.0,-2.7,116.8,.378,,.502,,.451,,,.268,,,,,,,Cobo Arena,,
Seattle SuperSonics,25.9,30,52,29,53,-4.85,0.17,-4.68,94.7,98.8,-4.1,117.4,.366,,.486,,.435,,,.258,,,,,,,Seattle Center Coliseum,,
Milwaukee Bucks,26.7,27,55,28,54,-5.12,0.06,-5.07,93.9,98.2,-4.3,117.5,.319,,.480,,.428,,,.238,,,,,,,Milwaukee Arena,,
Phoenix Suns,24.8,16,66,21,61,-8.73,0.47,-8.26,93.8,101.1,-7.3,118.4,.358,,.480,,.430,,,.252,,,,,,,Arizona Veterans Memorial Coliseum,,
League Average,26.9,,,41,41,0.00,0.00,0.00,95.5,95.5,,116.9,.353,,.491,,.441,13.6,,.252,,,,,,,,"402,696","1,305"
