Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
Boston Celtics*,27.3,61,21,60,22,7.79,-0.42,7.37,109.4,101.9,+7.5,102.6,.332,.057,.550,,.501,15.4,34.8,.258,,.475,16.5,67.8,.234,,Boston Garden,"596,349","4,888"
Los Angeles Lakers*,26.2,60,22,55,27,5.90,-0.51,5.40,109.5,103.9,+5.6,104.1,.284,.014,.569,,.530,16.5,32.6,.220,,.475,14.0,66.9,.181,,The Forum,"582,882",427
Seattle SuperSonics*,27.0,56,26,53,29,4.66,-0.42,4.24,105.8,101.2,+4.6,101.8,.298,.025,.520,,.474,14.9,36.4,.229,,.463,15.4,67.9,.221,,,,
Philadelphia 76ers*,27.0,59,23,52,30,4.22,-0.18,4.04,105.0,101.0,+4.0,103.0,.340,.017,.544,,.494,17.2,33.5,.262,,.460,15.5,66.7,.217,,The Spectrum,,
Milwaukee Bucks*,25.3,49,33,51,31,3.94,-0.37,3.57,106.8,102.9,+3.9,102.4,.278,.021,.532,,.491,15.0,35.2,.212,,.467,16.2,63.8,.229,,MECCA Arena,,547
Phoenix Suns*,26.5,55,27,50,32,3.60,-0.35,3.25,105.6,102.2,+3.4,104.8,.341,.039,.548,,.498,16.4,30.4,.263,,.483,16.5,66.9,.213,,Arizona Veterans Memorial Coliseum,,"1,373"
Kansas City Kings*,25.5,47,35,49,33,3.13,-0.32,2.82,104.0,101.0,+3.0,103.2,.300,.015,.522,,.480,14.5,31.0,.223,,.479,17.9,68.1,.273,,Kemper Arena,,
Atlanta Hawks*,26.1,50,32,49,33,2.91,-0.09,2.83,105.2,102.3,+2.9,98.9,.376,.011,.523,,.465,15.4,36.9,.290,,.461,17.1,65.6,.291,,Omni Coliseum,,128
Cleveland Cavaliers,27.4,37,45,42,40,0.34,0.09,0.43,106.7,106.4,+0.3,105.6,.274,.023,.519,,.476,13.2,33.1,.212,,.505,16.3,65.9,.216,,Coliseum at Richfield,,377
Houston Rockets*,27.3,41,41,41,41,0.17,0.10,0.27,108.1,108.0,+0.1,101.2,.310,.051,.533,,.487,15.5,37.6,.238,,.499,16.1,63.2,.230,,The Summit,,666
San Antonio Spurs*,26.9,41,41,40,42,-0.38,0.13,-0.24,108.6,109.0,-0.4,109.5,.327,.027,.553,,.502,15.2,31.8,.262,,.506,14.4,66.8,.216,,HemisFair Arena,,386
Indiana Pacers,25.3,37,45,39,43,-0.70,0.16,-0.54,105.5,106.2,-0.7,104.4,.303,.041,.523,,.479,14.8,35.4,.228,,.493,17.0,62.5,.230,,Market Square Arena,,
Portland Trail Blazers*,26.3,38,44,39,43,-0.82,-0.05,-0.87,103.4,104.3,-0.9,98.6,.293,.018,.519,,.477,16.1,35.5,.218,,.482,15.3,67.9,.245,,Memorial Coliseum,,
New Jersey Nets,26.1,34,48,38,44,-1.17,0.19,-0.98,101.5,102.5,-1.0,106.1,.321,.040,.518,,.466,16.6,32.1,.251,,.472,16.5,66.4,.263,,Rutgers Athletic Center,,359
New York Knicks,24.1,39,43,38,44,-1.15,0.19,-0.96,106.5,107.5,-1.0,106.5,.296,.025,.539,,.498,15.7,33.7,.221,,.498,16.4,64.0,.263,,Madison Square Garden (IV),,478
Washington Bullets*,29.0,39,43,34,48,-2.55,0.28,-2.27,103.2,105.7,-2.5,102.6,.263,.031,.504,,.463,13.7,33.3,.199,,.469,12.3,69.5,.218,,Capital Centre,,464
Chicago Bulls,25.9,30,52,34,48,-2.71,0.08,-2.63,104.3,107.0,-2.7,101.8,.373,.040,.545,,.489,17.2,32.2,.291,,.500,15.7,68.0,.251,,Chicago Stadium,,451
San Diego Clippers,27.6,35,47,30,52,-4.15,0.18,-3.97,105.7,109.8,-4.1,101.4,.289,.072,.522,,.482,14.6,34.2,.213,,.503,14.2,65.4,.215,,San Diego Sports Arena,,824
Denver Nuggets,27.1,30,52,30,52,-4.41,0.20,-4.22,103.4,107.6,-4.2,103.9,.340,.034,.517,,.469,15.1,33.6,.250,,.497,14.4,67.8,.224,,McNichols Sports Arena,,422
Golden State Warriors,26.3,24,58,29,53,-4.39,0.20,-4.20,102.0,106.3,-4.3,100.5,.262,.017,.520,,.484,15.5,31.1,.193,,.498,15.5,69.8,.273,,Oakland-Alameda County Coliseum Arena,,477
Utah Jazz,26.1,24,58,25,57,-6.01,0.31,-5.71,104.2,110.4,-6.2,97.6,.285,.027,.547,,.500,16.7,29.7,.230,,.500,13.5,67.1,.237,,Salt Palace,,489
Detroit Pistons,24.7,16,66,22,60,-8.24,0.67,-7.57,101.2,108.8,-7.6,107.1,.283,.029,.523,,.483,16.9,32.3,.209,,.499,15.2,64.7,.239,,Pontiac Silverdome,,272
League Average,26.5,,,41,41,0.00,0.00,0.00,105.3,105.3,,103.1,.307,.031,.531,,.486,15.5,33.5,.235,,.486,15.5,66.5,.235,,,"589,616",635
