Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
St. Louis Hawks,27.3,2,4,.333,4,2,96.7,90.2,+6.5,109.8,.441,,.496,,.430,,,.325,,,,,
Boston Celtics,27.1,8,3,.727,8,3,89.7,84.1,+5.6,137.4,.337,,.455,,.397,,,.251,,,,,
Syracuse Nationals,26.7,5,4,.556,4,5,95.5,97.5,-2.0,126.2,.408,,.486,,.401,,,.346,,,,,
Minneapolis Lakers,25.9,6,7,.462,4,9,90.1,94.5,-4.4,116.5,.337,,.456,,.391,,,.264,,,,,
Detroit Pistons,27.5,1,2,.333,1,2,93.4,98.3,-4.9,109.9,.386,,.475,,.401,,,.310,,,,,
New York Knicks,26.0,0,2,.000,0,2,84.3,92.0,-7.7,141.2,.306,,.423,,.363,,,.234,,,,,
League Average,26.7,,,,4,4,91.8,91.8,,123.4,.365,,.466,,.398,,,.286,,,,,
