Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
Los Angeles Lakers,29.5,11,7,.611,11,7,100.7,97.2,+3.5,111.2,.392,,.524,,.483,,,.262,,,,,
New York Knicks,27.2,12,7,.632,12,7,96.3,93.2,+3.1,112.2,.237,,.495,,.457,,,.180,,,,,
Atlanta Hawks,27.7,4,5,.444,5,4,95.4,95.1,+0.3,118.5,.296,,.490,,.450,,,.208,,,,,
Milwaukee Bucks,24.8,5,5,.500,5,5,100.7,100.7,0.0,112.6,.318,,.521,,.476,,,.237,,,,,
Baltimore Bullets,26.4,3,4,.429,3,4,92.7,94.0,-1.3,110.1,.309,,.472,,.418,,,.238,,,,,
Phoenix Suns,25.6,3,4,.429,2,5,90.6,95.6,-5.0,119.5,.299,,.460,,.405,,,.231,,,,,
Chicago Bulls,26.3,1,4,.200,1,4,92.9,99.3,-6.4,119.2,.277,,.475,,.431,,,.204,,,,,
Philadelphia 76ers,28.1,1,4,.200,1,4,97.9,106.9,-9.0,115.8,.267,,.506,,.475,,,.182,,,,,
League Average,27.3,,,,5,5,96.8,96.8,,113.9,.303,,.498,,.455,,,.219,,,,,
