Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
Boston Celtics*,27.3,63,19,57,25,6.38,-0.03,6.35,109.8,103.5,+6.3,101.5,.335,.025,.545,,.502,14.7,35.8,.248,,.472,14.6,67.6,.220,,Boston Garden,"612,711","15,057"
Philadelphia 76ers*,28.1,58,24,56,26,5.73,0.00,5.74,109.6,103.9,+5.7,100.6,.354,.020,.566,,.521,15.5,30.5,.265,,.480,16.5,65.0,.261,,The Spectrum,"498,901","12,168"
Milwaukee Bucks*,27.3,55,27,55,27,5.48,-0.10,5.38,107.7,102.3,+5.4,100.0,.332,.023,.553,,.509,16.5,35.1,.250,,.471,15.9,67.3,.253,,MECCA Arena,"443,288","10,812"
Los Angeles Lakers*,26.8,57,25,53,29,4.87,-0.50,4.37,110.2,105.5,+4.7,103.1,.285,.012,.551,,.518,14.7,35.8,.204,,.493,14.8,66.3,.187,,The Forum,"605,236","14,762"
Seattle SuperSonics*,26.4,52,30,52,30,4.13,-0.45,3.69,106.4,102.3,+4.1,100.0,.329,.021,.535,,.491,14.1,31.3,.243,,.464,14.4,67.2,.214,,,"721,049",
Phoenix Suns*,26.4,46,36,50,32,3.45,-0.40,3.05,105.8,102.4,+3.4,99.5,.302,.024,.538,,.495,15.9,32.2,.229,,.470,14.6,68.5,.233,,Arizona Veterans Memorial Coliseum,"486,855","11,871"
San Antonio Spurs*,26.1,48,34,47,35,2.30,-0.52,1.79,109.9,107.6,+2.3,102.5,.307,.033,.537,,.490,13.0,34.0,.238,,.487,13.7,68.8,.256,,HemisFair Arena,"434,278","10,592"
Golden State Warriors,25.1,45,37,44,38,1.04,-0.24,0.80,108.8,107.7,+1.1,101.4,.324,.044,.541,,.502,14.5,34.8,.233,,.493,14.1,68.8,.256,,Oakland-Alameda County Coliseum Arena,"391,726","9,554"
Washington Bullets*,26.0,43,39,43,39,0.88,0.19,1.06,103.3,102.5,+0.8,99.4,.294,.033,.524,,.478,14.7,29.4,.227,,.468,13.9,69.9,.228,,Capital Centre,"379,891","9,266"
New Jersey Nets*,25.1,44,38,43,39,0.68,0.18,0.87,103.0,102.3,+0.7,103.1,.326,.020,.529,,.487,16.6,33.7,.237,,.486,18.3,67.0,.281,,Brendan Byrne Arena,"560,734","13,676"
Portland Trail Blazers,24.7,42,40,43,39,0.60,-0.21,0.39,108.8,108.2,+0.6,100.5,.332,.019,.547,,.507,14.4,32.5,.239,,.502,15.0,65.9,.223,,Memorial Coliseum,"519,306","12,666"
Atlanta Hawks*,26.5,42,40,43,39,0.54,0.27,0.81,105.1,104.6,+0.5,95.1,.352,.019,.529,,.476,14.6,32.2,.271,,.473,15.6,67.6,.282,,Omni Coliseum,"314,593","7,673"
Denver Nuggets*,27.0,46,36,42,40,0.52,-0.40,0.13,114.3,113.9,+0.4,109.8,.389,.019,.578,,.522,14.1,31.8,.310,,.528,13.9,64.3,.213,,McNichols Sports Arena,"456,857","11,143"
Houston Rockets*,28.3,46,36,41,41,-0.04,-0.36,-0.39,108.3,108.3,0.0,97.2,.302,.024,.520,,.479,13.7,37.8,.220,,.500,14.3,66.1,.209,,The Summit,"480,190","11,713"
Detroit Pistons,24.4,39,43,39,43,-0.91,0.28,-0.63,105.8,106.6,-0.8,104.3,.349,.029,.534,,.485,16.0,34.8,.262,,.512,16.4,66.9,.224,,Pontiac Silverdome,"391,205","9,542"
Indiana Pacers,27.0,35,47,36,46,-1.87,0.38,-1.49,102.7,104.6,-1.9,98.7,.304,.044,.516,,.472,14.6,30.5,.225,,.494,15.9,66.3,.221,,Market Square Arena,"309,633","7,552"
Chicago Bulls,26.5,34,48,36,46,-2.02,0.45,-1.57,106.6,108.6,-2.0,99.0,.378,.032,.557,,.505,17.3,33.6,.290,,.499,13.2,69.0,.207,,Chicago Stadium,"372,613","9,088"
New York Knicks,28.0,33,49,34,48,-2.67,0.52,-2.15,106.0,108.6,-2.6,99.5,.302,.030,.535,,.495,15.4,33.1,.223,,.508,15.4,66.9,.255,,Madison Square Garden (IV),"451,140","11,003"
Kansas City Kings,24.0,30,52,33,49,-3.10,-0.15,-3.25,104.2,107.2,-3.0,101.8,.296,.018,.533,,.497,15.5,29.9,.213,,.504,16.5,66.0,.287,,Kemper Arena,"305,665","7,455"
Dallas Mavericks,24.4,28,54,29,53,-4.43,-0.06,-4.48,105.9,110.4,-4.5,98.5,.328,.026,.519,,.473,13.7,33.9,.241,,.510,14.5,66.8,.266,,Reunion Arena,"380,484","9,280"
Utah Jazz,24.9,25,57,27,55,-5.66,0.03,-5.63,106.2,111.7,-5.5,103.9,.306,.013,.538,,.496,14.5,30.6,.230,,.513,14.1,65.3,.244,,Salt Palace,"311,779","7,353"
San Diego Clippers,25.4,17,65,23,59,-7.39,0.34,-7.05,106.6,113.8,-7.2,101.4,.330,.048,.547,,.507,16.2,33.2,.238,,.529,13.9,68.0,.280,,San Diego Sports Arena,"225,036","5,489"
Cleveland Cavaliers,26.1,15,67,20,62,-8.51,0.74,-7.77,103.3,111.8,-8.5,99.3,.297,.019,.510,,.466,13.7,32.0,.222,,.515,14.7,65.9,.271,,Coliseum at Richfield,"232,421","5,742"
League Average,26.1,,,41,41,0.00,0.00,0.00,106.9,106.9,,100.9,.324,.026,.539,,.495,15.0,33.0,.241,,.495,15.0,67.0,.241,,,"429,808","10,141"
