Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
Boston Celtics*,28.8,54,26,52,28,4.89,-0.54,4.34,92.3,88.3,+4.0,122.0,.330,,.470,,.417,,,.244,,,,,,,Boston Garden,"246,189",
Philadelphia 76ers*,26.5,55,25,51,29,4.68,-0.52,4.16,95.3,91.5,+3.8,122.8,.384,,.490,,.446,,,.255,,,,,,,Convention Hall,,
Los Angeles Lakers*,26.5,45,35,47,33,3.10,-0.34,2.76,98.3,95.7,+2.6,121.2,.377,,.505,,.444,,,.291,,,,,,,Los Angeles Memorial Sports Arena,"426,467",
Cincinnati Royals*,26.8,45,35,43,37,1.16,-0.13,1.03,97.5,96.5,+1.0,120.4,.358,,.501,,.444,,,.271,,,,,,,Cincinnati Gardens,,
St. Louis Hawks*,27.4,36,44,39,41,-0.56,0.06,-0.50,95.6,96.1,-0.5,116.6,.366,,.490,,.431,,,.275,,,,,,,Kiel Auditorium,,
Baltimore Bullets*,27.8,38,42,37,43,-1.19,0.13,-1.06,95.8,96.8,-1.0,123.1,.388,,.492,,.438,,,.276,,,,,,,Baltimore Civic Center,,
New York Knicks,25.4,30,50,34,46,-2.60,0.29,-2.31,97.8,99.9,-2.1,118.9,.389,,.504,,.450,,,.280,,,,,,,Madison Square Garden (III),,
San Francisco Warriors,25.6,35,45,34,46,-2.65,0.29,-2.36,92.6,94.8,-2.2,124.6,.338,,.473,,.418,,,.250,,,,,,,San Francisco Civic Auditorium,,94
Detroit Pistons,25.0,22,58,24,56,-6.83,0.76,-6.07,89.4,94.9,-5.5,123.4,.322,,.455,,.409,,,.221,,,,,,,Cobo Arena,,
League Average,26.6,,,40,40,0.00,0.00,0.00,94.9,94.9,,121.4,.361,,.487,,.433,,,.262,,,,,,,,"336,328",8
