Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
Los Angeles Clippers*,25.5,36,46,34,48,-2.35,-0.31,-2.66,105.1,107.6,-2.5,91.3,.310,.200,.524,,.482,14.7,30.8,.227,,.499,15.5,68.1,.269,,Los Angeles Memorial Sports Arena,"232,895","8,836"
Toronto Raptors,25.1,30,52,32,50,-3.12,0.57,-2.56,104.6,108.0,-3.4,90.6,.303,.245,.521,,.481,15.2,32.5,.218,,.504,15.3,68.6,.258,,SkyDome,"744,550","18,551"
Sacramento Kings,27.4,34,48,31,51,-3.38,-0.26,-3.64,105.0,108.7,-3.7,91.0,.313,.160,.526,,.485,15.0,32.0,.226,,.495,14.3,68.5,.264,,ARCO Arena (II),"709,993","17,317"
New Jersey Nets,26.8,26,56,28,54,-4.56,0.67,-3.89,104.7,109.7,-5.0,92.4,.286,.193,.499,,.456,13.9,36.4,.212,,.503,14.1,69.0,.244,,Continental Airlines Arena,"670,628","15,800"
Golden State Warriors,26.7,30,52,28,54,-4.71,-0.20,-4.90,107.2,112.2,-5.0,91.9,.332,.208,.543,,.493,15.8,32.3,.258,,.518,14.4,67.5,.234,,San Jose Arena,"621,844","15,167"
Denver Nuggets,28.6,21,61,24,58,-6.28,-0.12,-6.40,104.5,111.2,-6.7,92.4,.298,.256,.530,,.486,15.2,28.8,.227,,.501,11.8,69.3,.206,,McNichols Sports Arena,"340,486","11,254"
Philadelphia 76ers,25.5,22,60,24,58,-6.54,0.65,-5.89,104.6,111.4,-6.8,95.3,.358,.198,.518,,.470,15.3,34.1,.259,,.510,13.8,66.5,.222,,CoreStates Center,"610,974","15,280"
Dallas Mavericks,27.1,24,58,23,59,-6.35,-0.12,-6.47,101.1,108.2,-7.1,89.0,.297,.204,.509,,.469,15.4,30.0,.213,,.500,14.9,67.3,.229,,Reunion Arena,"619,178","15,102"
Boston Celtics,26.1,15,67,22,60,-7.33,0.71,-6.62,103.9,111.4,-7.5,95.8,.316,.191,.520,,.474,14.5,29.4,.237,,.539,15.8,68.5,.243,,FleetCenter,"664,022","16,196"
San Antonio Spurs,29.9,20,62,19,63,-7.88,-0.05,-7.93,103.3,112.3,-9.0,87.3,.302,.185,.512,,.472,14.7,32.4,.217,,.514,14.0,67.0,.236,,Alamodome,"706,641","17,235"
Vancouver Grizzlies,25.0,14,68,15,67,-10.23,0.06,-10.17,100.3,111.8,-11.5,88.4,.269,.197,.507,,.471,15.3,29.7,.191,,.510,14.4,64.1,.224,,General Motors Place,"683,442","16,571"
League Average,27.6,,,41,41,0.00,0.00,0.00,106.7,106.7,,90.1,.320,.212,.536,,.493,14.8,30.8,.236,,.493,14.8,69.2,.236,,,"685,905","17,073"
