Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
Chicago Bulls*,30.7,69,13,68,14,10.80,-0.11,10.70,114.4,102.4,+12.0,90.0,.267,.203,.547,,.511,12.5,35.9,.199,,.471,14.8,69.3,.196,,United Center,"978,457","23,865"
Utah Jazz*,29.6,64,18,64,18,8.79,-0.82,7.97,113.6,104.0,+9.6,90.0,.389,.145,.581,,.530,14.7,29.7,.299,,.480,15.5,71.6,.290,,Delta Center,"811,439","19,791"
Seattle SuperSonics*,30.0,57,25,62,20,7.68,-0.77,6.91,111.2,102.7,+8.5,90.3,.358,.247,.557,,.510,14.2,30.9,.269,,.490,17.7,69.1,.242,,KeyArena at Seattle Center,"699,952","17,072"
Atlanta Hawks*,28.8,56,26,57,25,5.44,0.08,5.52,108.5,102.3,+6.2,86.8,.310,.291,.542,,.498,14.6,31.5,.236,,.472,15.0,69.2,.191,,Omni Coliseum,"549,414","14,288"
Miami Heat*,27.2,61,21,57,25,5.49,0.07,5.56,106.8,100.6,+6.2,88.2,.324,.299,.546,,.507,15.5,29.2,.233,,.465,15.6,70.6,.248,,Miami Arena,"615,160","15,004"
Detroit Pistons*,28.2,54,28,57,25,5.24,0.20,5.45,110.6,104.4,+6.2,84.5,.327,.246,.554,,.512,13.0,27.5,.244,,.487,14.6,70.4,.197,,The Palace of Auburn Hills,"784,234","20,014"
Houston Rockets*,30.8,57,25,54,28,4.48,-0.62,3.85,108.8,104.0,+4.8,91.6,.307,.284,.560,,.520,15.6,28.4,.232,,.481,13.3,71.4,.190,,The Summit,"667,685","16,285"
Los Angeles Lakers*,26.5,56,26,53,29,4.27,-0.61,3.66,108.3,103.7,+4.6,91.1,.351,.226,.535,,.496,13.7,31.6,.243,,.478,15.1,68.5,.231,,Great Western Forum,"697,159","17,004"
Portland Trail Blazers*,26.4,49,33,53,29,4.17,-0.61,3.56,107.9,103.3,+4.6,90.9,.350,.217,.544,,.503,15.4,32.5,.249,,.471,14.3,72.4,.268,,Rose Garden Arena,"852,798","20,800"
New York Knicks*,29.7,57,25,50,32,3.12,0.18,3.31,104.4,101.0,+3.4,90.5,.340,.208,.546,,.501,17.0,30.5,.255,,.463,15.4,73.4,.279,,Madison Square Garden (IV),"790,520","19,763"
Cleveland Cavaliers,26.7,42,40,47,35,1.84,0.47,2.32,104.6,102.4,+2.2,82.9,.297,.215,.531,,.493,15.0,29.4,.215,,.482,16.8,71.9,.281,,Gund Arena,"692,684","16,895"
Charlotte Hornets*,29.1,54,28,46,36,1.87,0.26,2.13,110.9,108.9,+2.0,88.6,.313,.218,.562,,.518,14.3,28.7,.243,,.496,13.3,68.1,.204,,Charlotte Coliseum,"985,722","24,042"
Washington Bullets*,25.9,44,38,46,36,1.62,0.15,1.77,106.6,104.9,+1.7,92.4,.296,.150,.540,,.505,14.6,30.2,.210,,.491,15.3,70.3,.226,,US Airways Arena,"700,646","17,681"
Indiana Pacers,27.9,39,43,44,38,0.98,0.52,1.49,105.8,104.7,+1.1,89.0,.374,.181,.537,,.490,15.5,31.3,.270,,.480,15.0,70.4,.258,,Market Square Arena,"636,735","15,530"
Phoenix Suns*,28.5,40,42,43,39,0.66,-0.45,0.21,109.3,108.6,+0.7,93.2,.317,.213,.552,,.508,13.4,27.1,.241,,.507,14.4,69.4,.215,,America West Arena,"779,940","19,023"
Orlando Magic*,29.4,45,37,40,42,-0.35,0.28,-0.07,105.6,106.0,-0.4,88.3,.304,.256,.524,,.481,14.5,30.9,.227,,.495,15.3,67.3,.211,,Orlando Arena,"711,311","17,199"
Minnesota Timberwolves*,26.3,40,42,37,45,-1.48,-0.35,-1.82,105.5,107.1,-1.6,90.7,.339,.170,.533,,.485,14.4,28.8,.254,,.486,14.6,68.3,.252,,Target Center,"697,727","17,018"
Milwaukee Bucks,27.3,33,49,35,47,-1.89,0.51,-1.38,106.2,108.3,-2.1,89.5,.334,.146,.541,,.496,15.1,29.7,.248,,.501,14.1,69.9,.253,,Bradley Center,"634,999","15,514"
