Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
Boston Celtics,26.6,7,3,.700,7,3,85.8,80.3,+5.5,125.0,.381,,.433,,.369,,,.272,,,,,
St. Louis Hawks,27.7,6,4,.600,4,6,90.2,91.6,-1.4,118.6,.477,,.458,,.385,,,.339,,,,,
Minneapolis Lakers,25.4,2,3,.400,2,3,90.4,92.4,-2.0,125.1,.395,,.459,,.391,,,.294,,,,,
Fort Wayne Pistons,26.4,0,2,.000,1,1,95.2,97.7,-2.5,123.4,.344,,.488,,.435,,,.254,,,,,
Syracuse Nationals,25.6,2,3,.400,2,3,83.1,86.3,-3.2,112.8,.383,,.415,,.337,,,.296,,,,,
Philadelphia Warriors,26.7,0,2,.000,0,2,79.7,87.9,-8.2,110.4,.274,,.399,,.355,,,.183,,,,,
League Average,26.6,,,,3,3,87.7,87.7,,120.4,.403,,.443,,.376,,,.292,,,,,
