Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
Boston Celtics*,27.9,60,20,60,20,9.24,-0.98,8.25,92.1,85.1,+7.0,130.8,.298,,.470,,.423,,,.217,,,,,,,Boston Garden,"191,855",
Philadelphia Warriors*,26.5,49,31,46,34,2.78,-0.14,2.63,94.5,92.4,+2.1,131.1,.359,,.485,,.439,,,.247,,,,,,,Convention Hall,,
Syracuse Nationals*,26.9,41,39,45,35,2.31,-0.07,2.24,93.4,91.6,+1.8,128.8,.325,,.476,,.418,,,.253,,,,,,,Onondaga War Memorial,,
Los Angeles Lakers*,25.9,54,26,45,35,2.20,-0.40,1.80,95.0,93.3,+1.7,123.3,.390,,.487,,.427,,,.286,,,,,,,Los Angeles Memorial Sports Arena,"190,321",
Cincinnati Royals*,25.0,43,37,44,36,1.76,-0.48,1.28,98.3,96.9,+1.4,124.9,.353,,.506,,.452,,,.265,,,,,,,Cincinnati Gardens,,
Detroit Pistons*,26.0,37,43,36,44,-1.69,-0.03,-1.72,92.8,94.2,-1.4,124.1,.376,,.474,,.415,,,.274,,,,,,,Cobo Arena,,
St. Louis Hawks,27.4,29,51,32,48,-3.28,0.31,-2.96,95.2,97.8,-2.6,124.6,.347,,.487,,.430,,,.263,,,,,,,Kiel Auditorium,,
New York Knicks,26.0,29,51,29,51,-4.84,0.86,-3.98,91.2,95.0,-3.8,125.6,.310,,.465,,.418,,,.220,,,,,,,Madison Square Garden (III),,
Chicago Packers,25.8,18,62,21,59,-8.49,0.94,-7.54,90.0,96.9,-6.9,122.9,.345,,.458,,.412,,,.232,,,,,,,International Amphitheatre,,
League Average,26.3,,,40,40,0.00,0.00,0.00,93.6,93.6,,126.2,.344,,.479,,.426,,,.250,,,,,,,,"191,088",
