Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
Chicago Bulls,27.2,15,2,.882,14,3,117.2,104.0,+13.2,88.1,.334,.068,.569,,.525,12.0,33.9,.255,,.470,15.4,70.4,.290
Utah Jazz,28.4,4,5,.444,5,4,109.9,107.6,+2.3,95.6,.386,.074,.553,,.485,13.0,28.1,.324,,.463,11.8,72.1,.329
Portland Trail Blazers,27.8,9,7,.563,9,7,111.0,109.6,+1.4,93.6,.387,.109,.537,,.486,13.4,35.9,.284,,.481,13.4,70.1,.299
Boston Celtics,28.7,5,6,.455,6,5,114.7,113.4,+1.3,95.3,.407,.050,.563,,.501,11.5,28.5,.326,,.475,9.7,68.5,.297
Los Angeles Lakers,28.2,12,7,.632,10,9,111.7,110.6,+1.1,92.0,.381,.125,.561,,.504,13.7,29.5,.301,,.504,12.5,68.8,.203
Indiana Pacers,26.5,2,3,.400,2,3,116.4,116.8,-0.4,101.7,.417,.137,.590,,.524,13.0,26.5,.349,,.519,13.7,68.9,.383
Detroit Pistons,30.4,7,8,.467,7,8,111.2,112.5,-1.3,90.3,.333,.112,.509,,.462,10.4,35.7,.243,,.472,10.8,68.1,.332
Philadelphia 76ers,28.4,4,4,.500,4,4,110.8,112.2,-1.4,89.8,.426,.109,.568,,.504,13.4,26.2,.341,,.512,12.1,68.5,.187
Golden State Warriors,26.3,4,5,.444,4,5,112.9,114.4,-1.5,100.2,.312,.148,.572,,.526,11.3,21.3,.250,,.514,13.6,67.8,.343
Seattle Supersonics,26.5,2,3,.400,2,3,108.4,111.3,-2.9,95.6,.376,.112,.539,,.475,14.4,33.3,.308,,.506,15.5,63.6,.324
San Antonio Spurs,25.8,1,3,.250,1,3,106.7,111.6,-4.9,101.0,.414,.078,.547,,.491,14.9,29.3,.312,,.526,13.2,78.6,.266
Houston Rockets,27.2,0,3,.000,1,2,102.8,109.1,-6.3,90.8,.197,.157,.517,,.486,14.8,30.5,.153,,.509,13.7,75.4,.274
Atlanta Hawks,29.0,2,3,.400,1,4,105.7,114.4,-8.7,91.9,.416,.126,.497,,.415,10.6,32.6,.346,,.484,11.4,62.1,.219
Milwaukee Bucks,29.0,0,3,.000,1,2,103.6,115.3,-11.7,93.9,.272,.122,.531,,.494,15.2,27.1,.201,,.554,14.8,73.4,.341
Phoenix Suns,27.1,1,3,.250,1,3,99.4,111.3,-11.9,96.4,.431,.105,.495,,.432,12.5,24.2,.314,,.522,14.1,73.4,.305
New York Knicks,28.7,0,3,.000,0,3,93.7,115.5,-21.8,91.8,.301,.128,.520,,.468,21.3,29.8,.242,,.513,12.3,71.3,.322
League Average,28.0,,,,4,4,110.9,110.9,,93.3,.367,.105,.547,,.492,12.8,30.6,.286,,.492,12.8,69.4,.286
