Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
Cleveland Cavaliers*,26.1,57,25,60,22,7.60,0.35,7.95,110.6,102.9,+7.7,98.0,.353,.069,.559,,.514,14.2,31.2,.264,,.473,15.0,67.1,.185,,Coliseum at Richfield,"721,426","17,596"
Phoenix Suns*,25.7,55,27,59,23,7.70,-0.86,6.84,113.1,105.7,+7.4,104.5,.344,.064,.560,,.509,12.8,30.8,.272,,.476,13.5,67.7,.225,,Arizona Veterans Memorial Coliseum,"447,061","10,904"
Los Angeles Lakers*,29.5,57,25,58,24,7.17,-0.79,6.38,113.8,106.7,+7.1,100.1,.351,.093,.570,,.518,14.0,33.0,.282,,.482,13.0,68.9,.205,,Great Western Forum,"717,349","17,496"
Detroit Pistons*,28.7,63,19,56,26,5.80,0.44,6.24,110.8,104.7,+6.1,95.5,.346,.058,.551,,.502,14.4,34.5,.266,,.458,13.2,69.2,.260,,The Palace of Auburn Hills,"879,405","21,449"
Utah Jazz*,27.4,51,31,55,27,5.02,-1.01,4.01,106.6,101.5,+5.1,98.0,.416,.058,.550,,.491,16.4,32.0,.320,,.447,13.9,68.1,.246,,Salt Palace,"509,501","12,427"
Atlanta Hawks*,28.5,52,30,54,28,4.91,0.35,5.26,112.2,107.2,+5.0,98.3,.375,.055,.540,,.480,13.5,37.1,.300,,.482,15.4,64.7,.256,,Omni Coliseum,"644,291","15,714"
Milwaukee Bucks*,28.5,49,33,50,32,3.61,0.50,4.11,110.1,106.4,+3.7,98.6,.332,.079,.544,,.487,13.7,32.7,.273,,.493,16.1,67.5,.266,,Bradley Center,"700,984","17,097"
New York Knicks*,25.3,52,30,50,32,3.77,-0.15,3.62,111.1,107.5,+3.6,104.4,.311,.151,.553,,.512,15.4,36.2,.234,,.504,16.7,65.1,.249,,Madison Square Garden (IV),"746,851","18,216"
Seattle SuperSonics*,26.3,47,35,48,34,2.90,-0.46,2.44,111.5,108.6,+2.9,100.1,.318,.104,.539,,.496,14.1,38.3,.237,,.498,16.0,65.3,.271,,Seattle Center Coliseum,"456,765","11,141"
Denver Nuggets*,29.8,44,38,45,37,1.70,-0.78,0.91,108.6,107.1,+1.5,107.5,.284,.083,.528,,.482,11.8,29.6,.224,,.505,15.6,68.9,.264,,McNichols Sports Arena,"527,337","12,862"
Philadelphia 76ers*,27.0,46,36,45,37,1.50,0.18,1.68,113.0,111.5,+1.5,98.5,.348,.090,.552,,.500,12.8,32.2,.274,,.513,13.4,67.2,.215,,The Spectrum,"531,715","12,969"
Chicago Bulls*,26.4,47,35,45,37,1.44,0.69,2.13,109.1,107.7,+1.4,97.0,.302,.076,.553,,.507,14.4,30.7,.238,,.487,13.5,69.5,.239,,Chicago Stadium,"736,962","17,975"
Portland Trail Blazers*,26.9,39,43,45,37,1.46,-0.55,0.92,109.4,108.0,+1.4,103.9,.310,.083,.530,,.488,13.9,36.7,.230,,.501,15.7,67.4,.264,,Memorial Coliseum,"527,008","12,854"
Boston Celtics*,28.5,42,40,44,38,1.16,0.10,1.26,110.8,109.6,+1.2,98.1,.329,.043,.548,,.498,14.0,34.7,.258,,.493,12.7,70.0,.248,,Boston Garden,"611,537","14,890"
Houston Rockets*,26.8,45,37,44,38,0.95,-0.73,0.22,105.7,104.8,+0.9,101.8,.351,.073,.535,,.486,15.9,33.3,.265,,.481,14.9,69.0,.248,,The Summit,"680,728","16,603"
Golden State Warriors*,26.0,43,39,40,42,-0.30,-0.29,-0.59,107.4,107.7,-0.3,107.3,.299,.079,.529,,.480,14.2,33.4,.239,,.479,14.6,64.1,.240,,Oakland-Alameda County Coliseum Arena,"587,820","14,337"
Dallas Mavericks,28.6,38,44,38,44,-1.21,-0.59,-1.79,107.4,108.6,-1.2,95.9,.327,.098,.536,,.484,13.5,29.5,.258,,.480,12.5,66.1,.215,,Reunion Arena,"695,056","16,953"
Washington Bullets,26.2,40,42,35,47,-2.16,0.39,-1.77,106.4,108.5,-2.1,100.8,.305,.032,.516,,.467,13.0,33.1,.236,,.493,14.2,67.5,.267,,Capital Centre,"253,980","6,071"
Indiana Pacers,25.2,28,54,30,52,-4.17,1.17,-3.00,106.8,111.0,-4.2,99.2,.328,.089,.552,,.502,16.3,31.5,.258,,.478,12.4,66.0,.275,,Market Square Arena,"335,298","8,178"
Sacramento Kings,25.2,27,55,27,55,-5.55,0.20,-5.35,104.5,110.0,-5.5,100.5,.286,.112,.523,,.478,14.2,30.5,.220,,.496,13.2,67.7,.235,,ARCO Arena (II),"677,197","16,517"
New Jersey Nets,26.8,26,56,25,57,-6.35,0.66,-5.69,103.0,109.3,-6.3,100.1,.313,.079,.517,,.474,15.0,32.7,.229,,.508,14.4,70.1,.244,,Brendan Byrne Arena,"378,397","9,229"
San Antonio Spurs,25.6,21,61,23,59,-7.28,-0.17,-7.45,100.9,107.9,-7.0,104.1,.319,.040,.512,,.472,16.8,34.5,.223,,.500,17.2,63.5,.294,,HemisFair Arena,"323,573","7,892"
Charlotte Hornets,27.2,20,62,21,61,-8.52,0.79,-7.74,103.7,112.1,-8.4,100.3,.277,.058,.514,,.470,13.7,30.3,.213,,.508,14.7,64.9,.287,,Charlotte Coliseum,"949,858","23,167"
Los Angeles Clippers,24.6,21,61,18,64,-9.91,0.41,-9.50,100.8,110.2,-9.4,104.4,.299,.032,.518,,.478,16.5,31.2,.216,,.497,14.1,64.0,.237,,Los Angeles Memorial Sports Arena,"286,614","6,991"
Miami Heat,25.2,15,67,15,67,-11.23,0.10,-11.13,97.8,109.0,-11.2,99.1,.296,.042,.498,,.459,17.7,35.6,.208,,.499,16.0,65.0,.292,,Miami Arena,"612,754","14,945"
League Average,27.0,,,41,41,0.00,0.00,0.00,107.8,107.8,,100.6,.324,.074,.537,,.489,14.5,33.0,.249,,.489,14.5,67.0,.249,,,"581,579","14,201"
