Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
Boston Celtics,28.2,8,2,.800,8,2,92.6,83.7,+8.9,130.4,.386,,.472,,.413,,,.279,,,,,
Los Angeles Lakers,25.4,6,6,.500,7,5,95.6,94.0,+1.6,122.0,.391,,.490,,.428,,,.292,,,,,
Philadelphia Warriors,26.7,0,3,.000,1,2,84.3,87.4,-3.1,128.1,.436,,.426,,.373,,,.270,,,,,
Detroit Pistons,25.8,2,3,.400,2,3,92.2,96.0,-3.8,127.3,.377,,.470,,.407,,,.282,,,,,
St. Louis Hawks,27.0,5,7,.417,4,8,89.0,93.1,-4.1,124.7,.328,,.451,,.398,,,.238,,,,,
Syracuse Nationals,27.0,4,4,.500,3,5,88.8,93.1,-4.3,124.3,.366,,.448,,.373,,,.293,,,,,
League Average,26.7,,,,4,4,91.3,91.3,,125.6,.372,,.464,,.403,,,.274,,,,,
