Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
Boston Celtics,28.4,8,2,.800,7,3,87.6,82.4,+5.2,118.0,.328,,.444,,.393,,,.230,,,,,
San Francisco Warriors,25.5,5,7,.417,6,6,90.5,89.5,+1.0,117.7,.386,,.463,,.427,,,.231,,,,,
St. Louis Hawks,27.7,6,6,.500,6,6,96.7,97.0,-0.3,109.7,.382,,.496,,.437,,,.285,,,,,
Cincinnati Royals,26.4,4,6,.400,4,6,94.0,95.4,-1.4,112.6,.354,,.480,,.418,,,.273,,,,,
Philadelphia 76ers,27.0,2,3,.400,2,3,94.9,99.2,-4.3,119.3,.410,,.484,,.412,,,.319,,,,,
Los Angeles Lakers,26.2,2,3,.400,2,3,99.2,104.9,-5.7,102.0,.432,,.510,,.434,,,.345,,,,,
League Average,26.9,,,,5,4,93.1,93.1,,113.7,.374,,.475,,.420,,,.268,,,,,
