Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
New York Knicks*,28.1,39,43,40,42,-0.23,-0.20,-0.43,107.1,107.3,-0.2,95.0,.315,.082,.544,,.498,15.1,31.1,.242,,.489,13.4,68.5,.205,,Madison Square Garden (IV),"654,962","15,975"
Philadelphia 76ers*,28.4,44,38,41,41,-0.18,-0.21,-0.39,107.9,108.1,-0.2,95.7,.342,.089,.542,,.489,13.4,28.1,.270,,.489,12.5,68.3,.187,,The Spectrum,"624,582","15,471"
Indiana Pacers*,26.4,41,41,40,42,-0.39,0.02,-0.37,111.7,112.1,-0.4,99.4,.354,.107,.566,,.511,14.4,30.6,.287,,.503,13.1,66.4,.254,,Market Square Arena,"465,650","11,546"
Cleveland Cavaliers,26.8,33,49,34,48,-2.46,0.14,-2.33,106.1,108.7,-2.6,95.1,.317,.070,.534,,.487,14.1,29.7,.243,,.497,13.3,68.0,.206,,Coliseum at Richfield,"623,735","15,213"
Los Angeles Clippers,25.1,31,51,32,50,-3.45,0.29,-3.16,103.0,106.5,-3.5,99.9,.311,.059,.511,,.471,14.7,33.3,.218,,.481,13.7,69.2,.266,,Los Angeles Memorial Sports Arena,"522,111","12,734"
Orlando Magic,26.1,31,51,31,51,-3.98,0.18,-3.79,105.9,109.9,-4.0,99.5,.337,.104,.521,,.473,14.3,33.0,.251,,.493,12.8,68.9,.260,,Orlando Arena,"617,668","15,065"
Minnesota Timberwolves,26.2,29,53,30,52,-3.93,0.18,-3.75,106.7,110.9,-4.2,92.3,.286,.052,.499,,.456,11.5,34.9,.210,,.502,13.8,65.9,.248,,Target Center,"779,530","18,940"
New Jersey Nets,26.2,26,56,29,53,-4.51,-0.02,-4.53,102.9,107.4,-4.5,99.3,.301,.079,.500,,.455,14.4,35.7,.222,,.478,14.9,64.6,.267,,Brendan Byrne Arena,"480,786","11,943"
Dallas Mavericks,30.6,28,54,29,53,-4.57,0.31,-4.27,105.5,110.3,-4.8,94.2,.288,.087,.528,,.485,13.3,28.3,.219,,.495,12.6,67.9,.245,,Reunion Arena,"683,927","16,410"
Washington Bullets,26.5,30,52,28,54,-4.98,0.14,-4.84,103.0,108.1,-5.1,97.5,.279,.039,.509,,.470,14.3,32.2,.203,,.478,13.1,66.0,.242,,Capital Centre,"443,683","11,769"
Charlotte Hornets,25.5,26,56,27,55,-5.24,0.30,-4.95,105.0,110.4,-5.4,97.3,.315,.059,.526,,.477,13.9,29.0,.245,,.504,15.0,65.7,.272,,Charlotte Coliseum,"978,141","23,906"
Miami Heat,24.0,24,58,25,57,-5.99,0.08,-5.91,102.0,108.1,-6.1,99.3,.323,.065,.512,,.469,16.0,34.3,.231,,.491,15.3,66.2,.286,,Miami Arena,"615,328","15,008"
Sacramento Kings,25.9,25,57,23,59,-6.78,0.51,-6.27,102.0,109.1,-7.1,94.7,.309,.085,.512,,.468,14.1,28.8,.226,,.481,14.3,65.6,.306,,ARCO Arena (II),"697,604","17,015"
Denver Nuggets,26.5,20,62,19,63,-10.91,0.60,-10.31,105.2,114.7,-9.5,113.7,.255,.119,.498,,.457,11.9,33.1,.195,,.524,14.1,67.1,.299,,McNichols Sports Arena,"438,103","10,685"
League Average,27.2,,,41,41,0.00,0.00,0.00,107.9,107.9,,97.8,.320,.082,.534,,.487,13.9,32.3,.245,,.487,13.9,67.7,.245,,,"621,283","15,242"
