Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
Philadelphia Warriors*,25.6,45,27,46,26,4.26,-0.45,3.82,94.6,90.7,+3.9,108.5,.439,,.483,,.410,,,.333,,,,,,,Convention Hall,,
Fort Wayne Pistons*,27.2,37,35,38,34,0.71,-0.26,0.45,90.7,90.0,+0.7,103.2,.442,,.461,,.388,,,.324,,,,,,,War Memorial Coliseum,,
Boston Celtics*,26.9,39,33,38,34,0.65,0.07,0.72,92.2,91.7,+0.5,114.5,.403,,.469,,.397,,,.310,,,,,,,Boston Garden,"209,645",
Syracuse Nationals*,26.1,35,37,36,36,0.01,0.16,0.17,88.0,88.0,0.0,108.5,.406,,.444,,.370,,,.307,,,,,,,Onondaga War Memorial,,
New York Knicks*,26.8,35,37,35,37,-0.42,0.22,-0.20,92.4,92.8,-0.4,106.5,.456,,.470,,.392,,,.343,,,,,,,Madison Square Garden (III),,
Minneapolis Lakers*,26.8,33,39,34,38,-0.89,-0.03,-0.92,91.5,92.4,-0.9,108.0,.401,,.464,,.388,,,.316,,,,,,,Minneapolis Auditorium,,
St. Louis Hawks*,25.7,33,39,32,40,-1.47,0.05,-1.42,87.6,88.9,-1.3,109.4,.417,,.443,,.378,,,.293,,,,,,,Kiel Auditorium,,
Rochester Royals,25.2,31,41,29,43,-2.86,0.25,-2.61,85.3,87.9,-2.6,111.7,.373,,.430,,.370,,,.261,,,,,,,Rochester Community War Memorial,,
League Average,26.3,,,36,36,0.00,0.00,0.00,90.3,90.3,,108.8,.416,,.458,,.387,,,.310,,,,,,,,"209,645",
