Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
Philadelphia 76ers*,27.0,68,13,61,20,9.44,-0.94,8.50,101.5,93.9,+7.6,122.9,.421,,.528,,.483,,,.286,,,,,,,Convention Hall,,
Boston Celtics*,29.6,60,21,59,22,8.05,-0.81,7.24,97.5,91.0,+6.5,121.2,.356,,.502,,.447,,,.266,,,,,,,Boston Garden,"322,690",
San Francisco Warriors*,25.3,44,37,47,34,2.86,-0.29,2.58,95.3,93.1,+2.2,127.4,.343,,.488,,.433,,,.259,,,,,,,San Francisco Civic Auditorium,,
Los Angeles Lakers*,27.1,36,45,41,40,0.35,-0.04,0.31,97.4,97.1,+0.3,123.0,.345,,.501,,.447,,,.259,,,,,,,Los Angeles Memorial Sports Arena,"435,008",
Cincinnati Royals*,26.4,39,42,40,41,-0.26,0.03,-0.23,98.4,98.6,-0.2,118.6,.345,,.506,,.449,,,.268,,,,,,,Cincinnati Gardens,,
St. Louis Hawks*,26.7,39,42,37,44,-1.60,0.16,-1.44,96.1,97.4,-1.3,117.7,.372,,.494,,.443,,,.264,,,,,,,Kiel Auditorium,,
New York Knicks*,25.2,36,45,33,48,-3.05,0.31,-2.74,97.9,100.5,-2.6,118.5,.371,,.505,,.453,,,.268,,,,,,,Madison Square Garden (III),,
Chicago Bulls*,25.6,33,48,31,50,-3.74,0.37,-3.37,92.3,95.4,-3.1,122.2,.327,,.471,,.419,,,.240,,,,,,,International Amphitheatre,,
Detroit Pistons,25.2,30,51,27,54,-5.53,0.55,-4.98,90.9,95.4,-4.5,121.5,.319,,.463,,.412,,,.231,,,,,,,Cobo Arena,,
Baltimore Bullets,27.5,20,61,26,55,-6.52,0.65,-5.87,93.4,98.6,-5.2,123.0,.323,,.477,,.427,,,.236,,,,,,,Baltimore Civic Center,,
League Average,26.6,,,40,41,0.00,0.00,0.00,96.1,96.1,,121.6,.352,,.493,,.441,,,.257,,,,,,,,"378,849",
