Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
Boston Celtics*,28.3,57,22,52,27,5.66,-0.72,4.94,88.7,84.5,+4.2,134.4,.302,,.449,,.398,,,.222,,,,,,,Boston Garden,"201,569",
St. Louis Hawks*,27.4,51,28,48,31,3.56,-0.57,2.99,91.4,88.7,+2.7,129.1,.332,,.465,,.411,,,.244,,,,,,,Kiel Auditorium,,
Syracuse Nationals*,26.7,38,41,44,35,2.15,-0.22,1.93,93.6,91.9,+1.7,129.1,.337,,.477,,.418,,,.260,,,,,,,Onondaga War Memorial,,
Philadelphia Warriors*,27.0,46,33,42,37,0.94,-0.05,0.89,91.2,90.5,+0.7,132.0,.350,,.466,,.424,,,.228,,,,,,,Convention Hall,,
Los Angeles Lakers*,25.2,36,43,39,40,-0.05,-0.06,-0.11,90.8,90.9,-0.1,124.9,.356,,.462,,.403,,,.261,,,,,,,Los Angeles Memorial Sports Arena,"151,344",
Detroit Pistons*,25.8,34,45,34,45,-2.38,0.27,-2.11,93.8,95.6,-1.8,126.0,.388,,.479,,.417,,,.288,,,,,,,Detroit Olympia,,
Cincinnati Royals,24.4,33,46,32,47,-3.46,0.42,-3.04,95.6,98.4,-2.8,122.8,.333,,.490,,.438,,,.249,,,,,,,Cincinnati Gardens,,
New York Knicks,26.2,21,58,25,54,-6.42,0.99,-5.43,91.9,97.1,-5.2,122.9,.340,,.468,,.410,,,.256,,,,,,,Madison Square Garden (III),,
League Average,26.4,,,40,39,0.00,0.01,0.01,92.1,92.1,,127.7,.342,,.469,,.415,,,.250,,,,,,,,"176,457",
