Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
Los Angeles Lakers,25.8,6,7,.462,7,6,100.4,98.2,+2.2,112.6,.434,,.518,,.450,,,.333,,,,,
Boston Celtics,28.5,8,5,.615,7,6,93.4,91.7,+1.7,126.4,.344,,.477,,.422,,,.256,,,,,
St. Louis Hawks,25.8,6,5,.545,6,5,95.1,94.1,+1.0,116.3,.352,,.487,,.431,,,.263,,,,,
Cincinnati Royals,26.1,6,6,.500,6,6,100.1,101.3,-1.2,120.0,.441,,.516,,.447,,,.339,,,,,
Syracuse Nationals,27.0,2,3,.400,2,3,98.9,102.5,-3.6,119.6,.377,,.509,,.444,,,.299,,,,,
Detroit Pistons,24.6,1,3,.250,1,3,88.9,96.0,-7.1,116.4,.388,,.451,,.393,,,.270,,,,,
League Average,26.5,,,,5,5,96.8,96.8,,118.8,.390,,.497,,.434,,,.295,,,,,
