Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
Los Angeles Lakers,29.5,11,7,.611,12,6,93.8,89.6,+4.2,110.6,.414,,.481,,.434,,,.270,,,,,
Boston Celtics,30.9,12,6,.667,11,7,96.7,93.9,+2.8,111.6,.335,,.496,,.443,,,.253,,,,,
New York Knicks,26.3,6,4,.600,6,4,94.8,92.0,+2.8,112.4,.312,,.486,,.438,,,.229,,,,,
Atlanta Hawks,27.4,5,6,.455,6,5,91.8,91.7,+0.1,111.7,.349,,.470,,.429,,,.226,,,,,
San Diego Rockets,24.8,2,4,.333,3,3,98.6,100.9,-2.3,107.6,.399,,.510,,.463,,,.273,,,,,
Baltimore Bullets,25.6,0,4,.000,1,3,92.2,100.6,-8.4,112.8,.282,,.471,,.427,,,.204,,,,,
Philadelphia 76ers,28.0,1,4,.200,1,4,93.2,102.3,-9.1,113.8,.356,,.476,,.424,,,.254,,,,,
San Francisco Warriors,26.7,2,4,.333,1,5,82.3,91.8,-9.5,115.0,.326,,.413,,.363,,,.220,,,,,
League Average,28.2,,,,5,5,93.6,93.6,,111.6,.354,,.480,,.431,,,.246,,,,,
