Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
Boston Celtics*,27.5,59,16,54,21,8.32,-0.70,7.62,91.0,84.9,+6.1,136.3,.281,,.463,,.417,,,.206,,,,,,,Boston Garden,"209,374",
St. Louis Hawks*,27.6,46,29,44,31,2.71,-0.93,1.77,94.0,91.8,+2.2,120.0,.381,,.481,,.419,,,.283,,,,,,,Kiel Auditorium,,
Syracuse Nationals*,27.0,45,30,43,32,2.63,0.15,2.77,93.1,91.0,+2.1,127.2,.323,,.474,,.414,,,.256,,,,,,,Onondaga War Memorial,,
Philadelphia Warriors*,26.2,49,26,43,32,2.63,0.15,2.77,88.7,86.8,+1.9,133.3,.310,,.451,,.409,,,.207,,,,,,,Convention Hall,,
New York Knicks,26.4,27,48,32,43,-2.31,0.87,-1.43,93.0,94.9,-1.9,125.9,.311,,.475,,.421,,,.238,,,,,,,Madison Square Garden (III),,
Detroit Pistons*,27.1,30,45,30,45,-3.43,-0.03,-3.45,89.8,92.6,-2.8,123.1,.359,,.456,,.397,,,.262,,,,,,,Detroit Olympia,,
Minneapolis Lakers*,25.5,25,50,28,47,-4.23,0.09,-4.14,87.7,91.2,-3.5,121.2,.341,,.444,,.386,,,.249,,,,,,,Minneapolis Armory,,
Cincinnati Royals,25.0,19,56,24,51,-6.32,0.40,-5.92,91.3,96.5,-5.2,121.6,.343,,.465,,.412,,,.246,,,,,,,Cincinnati Gardens,,
League Average,26.5,,,37,38,0.00,0.00,0.00,91.1,91.1,,126.1,.330,,.463,,.410,,,.242,,,,,,,,"209,374",
