Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
Washington Bullets*,26.6,60,22,60,22,7.17,-0.64,6.53,98.0,91.3,+6.7,106.1,.255,,.501,,.462,15.7,28.7,.192,,.438,18.2,70.0,.202,,Capital Centre,,
Boston Celtics*,29.1,60,22,56,26,5.72,-0.32,5.40,100.0,94.7,+5.3,106.1,.252,,.502,,.458,15.8,33.4,.199,,.444,14.7,73.6,.181,,Boston Garden,"486,270",
Golden State Warriors*,25.8,48,34,50,32,3.29,-0.43,2.86,100.4,97.3,+3.1,107.6,.240,,.504,,.465,16.3,34.8,.184,,.456,16.0,70.7,.218,,Oakland-Alameda County Coliseum Arena,,
Chicago Bulls*,30.2,47,35,50,32,3.10,-0.22,2.88,97.4,94.4,+3.0,99.7,.311,,.499,,.447,15.5,29.5,.241,,.448,16.7,73.4,.206,,Chicago Stadium,,
Buffalo Braves*,26.4,49,33,47,35,2.15,0.02,2.16,99.8,97.8,+2.0,107.7,.298,,.523,,.476,16.8,29.7,.232,,.450,16.0,67.9,.190,,Buffalo Memorial Auditorium,,
Houston Rockets*,25.2,41,41,44,38,1.06,-0.23,0.84,100.4,99.4,+1.0,102.9,.281,,.524,,.477,17.8,33.1,.225,,.481,17.3,70.7,.221,,Hofheinz Pavilion,,
Portland Trail Blazers,26.0,38,44,42,40,0.44,-0.17,0.27,98.1,97.7,+0.4,104.7,.318,,.525,,.480,18.4,29.0,.236,,.450,16.0,69.6,.228,,Memorial Coliseum,,
Milwaukee Bucks,26.2,38,44,42,40,0.21,0.04,0.25,98.0,97.8,+0.2,102.1,.237,,.507,,.468,15.9,27.9,.184,,.444,14.0,70.6,.197,,MECCA Arena,,
Kansas City-Omaha Kings*,25.5,44,38,40,42,-0.29,0.14,-0.16,96.8,97.1,-0.3,104.4,.302,,.505,,.449,15.8,26.1,.248,,.461,16.3,72.1,.205,,Kemper Arena,,
Cleveland Cavaliers,25.9,40,42,40,42,-0.37,0.05,-0.31,97.6,98.0,-0.4,100.4,.238,,.498,,.462,15.2,28.2,.177,,.451,16.5,67.0,.224,,Coliseum at Richfield,,
Seattle SuperSonics*,25.6,43,39,38,44,-1.09,-0.11,-1.19,96.7,97.7,-1.0,105.5,.257,,.496,,.456,15.9,29.3,.193,,.459,17.1,66.7,.205,,Seattle Center Coliseum,,
New York Knicks*,27.7,40,42,38,44,-1.23,0.32,-0.92,97.1,98.3,-1.2,103.1,.264,,.494,,.450,14.2,25.6,.203,,.457,15.3,71.3,.220,,Madison Square Garden (IV),,387
Atlanta Hawks,25.1,31,51,37,45,-1.37,0.04,-1.32,98.3,99.5,-1.2,106.3,.311,,.485,,.438,14.8,33.6,.226,,.475,17.0,69.4,.214,,Omni Coliseum,,
Detroit Pistons*,26.6,40,42,37,45,-1.43,0.24,-1.19,98.3,99.7,-1.4,100.5,.280,,.512,,.466,16.4,28.2,.217,,.470,15.9,69.5,.194,,Cobo Arena,,
Phoenix Suns,25.9,32,50,34,48,-2.38,0.02,-2.36,96.4,98.6,-2.2,104.3,.275,,.489,,.447,17.2,34.5,.203,,.458,16.0,70.7,.243,,Arizona Veterans Memorial Coliseum,,
Philadelphia 76ers,27.7,34,48,32,50,-3.06,0.46,-2.60,95.8,98.8,-3.0,103.4,.273,,.488,,.445,16.0,30.4,.205,,.461,15.9,69.9,.206,,The Spectrum,,
Los Angeles Lakers,28.2,30,52,30,52,-4.07,0.13,-3.94,96.1,99.9,-3.8,106.4,.288,,.495,,.450,17.3,31.9,.217,,.454,15.4,66.0,.203,,The Forum,"474,287",
New Orleans Jazz,26.0,23,59,21,61,-7.85,0.56,-7.30,92.5,99.7,-7.2,109.4,.299,,.489,,.440,17.5,28.1,.229,,.478,18.4,68.7,.250,,Municipal Auditorium,,
League Average,26.7,,,41,41,0.00,-0.01,-0.01,97.7,97.7,,104.5,.276,,.502,,.457,16.3,30.2,.211,,.457,16.3,69.8,.211,,,"480,279","2,377"
