Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
Milwaukee Bucks*,26.1,66,16,67,15,12.26,-0.34,11.92,103.9,93.1,+10.8,113.4,.305,,.549,,.509,16.0,,.226,,.424,14.5,,.210,,Milwaukee Arena,,
Chicago Bulls*,27.4,51,31,54,28,5.24,0.23,5.47,100.5,95.7,+4.8,109.7,.355,,.512,,.452,13.3,,.281,,.453,13.4,,.215,,Chicago Stadium,,
New York Knicks*,28.0,52,30,54,28,5.02,0.03,5.05,97.8,93.3,+4.5,112.2,.294,,.495,,.450,11.8,,.218,,.431,15.3,,.249,,Madison Square Garden (IV),,
Los Angeles Lakers*,28.2,48,34,49,33,3.07,0.19,3.27,98.8,96.1,+2.7,115.7,.346,,.520,,.476,15.0,,.246,,.446,13.8,,.184,,The Forum,"566,108",
Boston Celtics,26.2,44,38,46,36,2.07,0.23,2.30,97.0,95.3,+1.7,120.2,.307,,.491,,.442,14.4,,.232,,.440,14.7,,.270,,Boston Garden,"313,768",
Phoenix Suns,26.0,48,34,46,36,1.90,0.43,2.33,98.2,96.6,+1.6,115.3,.384,,.498,,.437,14.6,,.290,,.448,15.4,,.277,,Arizona Veterans Memorial Coliseum,,
Philadelphia 76ers*,29.0,47,35,45,37,1.55,0.26,1.81,98.8,97.5,+1.3,115.7,.370,,.504,,.450,15.0,,.274,,.450,16.2,,.290,,The Spectrum,,
Baltimore Bullets*,27.5,42,40,42,40,0.59,0.33,0.91,96.2,95.7,+0.5,116.5,.300,,.491,,.442,14.2,,.226,,.446,15.2,,.236,,Baltimore Civic Center,,
San Diego Rockets,25.0,40,42,40,42,-0.24,0.45,0.21,95.2,95.5,-0.3,118.5,.347,,.478,,.421,15.0,,.260,,.449,15.0,,.250,,San Diego Sports Arena,,
Detroit Pistons,25.8,45,37,39,43,-0.74,0.41,-0.33,98.1,98.7,-0.6,111.3,.363,,.504,,.449,15.5,,.271,,.457,17.1,,.264,,Cobo Arena,,104
San Francisco Warriors*,27.4,41,41,37,45,-1.44,0.61,-0.83,94.2,95.5,-1.3,113.5,.320,,.499,,.448,16.1,,.243,,.428,11.8,,.207,,Oakland-Alameda County Coliseum Arena,,
Atlanta Hawks*,27.6,36,46,37,45,-1.79,0.49,-1.30,96.9,98.4,-1.5,117.2,.382,,.514,,.465,16.5,,.273,,.446,12.3,,.222,,Alexander Memorial Coliseum,,
Seattle SuperSonics,27.1,38,44,36,46,-1.98,0.45,-1.53,98.4,100.1,-1.7,116.5,.347,,.509,,.456,15.3,,.262,,.469,14.6,,.245,,Seattle Center Coliseum,,
Cincinnati Royals,25.7,33,49,33,49,-3.21,0.25,-2.96,97.1,99.8,-2.7,118.5,.313,,.499,,.454,14.2,,.227,,.467,15.2,,.269,,Cincinnati Gardens,,
Portland Trail Blazers,25.4,29,53,30,52,-4.51,-1.69,-6.20,95.4,99.1,-3.7,120.6,.312,,.486,,.435,12.7,,.237,,.468,15.8,,.244,,Memorial Coliseum,,
Buffalo Braves,24.9,22,60,25,57,-6.62,-1.39,-8.02,93.7,99.6,-5.9,111.9,.319,,.483,,.436,16.4,,.230,,.455,16.1,,.290,,Buffalo Memorial Auditorium,,
Cleveland Cavaliers,24.3,15,67,16,66,-11.17,-0.87,-12.04,92.3,102.4,-10.1,110.6,.306,,.474,,.424,15.3,,.228,,.465,14.9,,.312,,Cleveland Arena,,
League Average,26.6,,,41,41,0.00,0.00,0.00,97.2,97.2,,115.1,.333,,.500,,.449,14.8,,.248,,.449,14.8,,.248,,,"439,938","1,829"
