Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
Chicago Bulls,28.2,15,4,.789,13,6,113.8,107.3,+6.5,88.5,.312,.116,.547,,.509,11.8,33.1,.226,,.493,14.9,66.9,.248
Houston Rockets,27.4,6,6,.500,7,5,106.4,104.8,+1.6,91.1,.290,.182,.553,,.511,16.7,30.0,.224,,.459,12.0,65.2,.185
Seattle Supersonics,28.0,10,9,.526,10,9,111.1,109.6,+1.5,89.7,.297,.123,.524,,.477,12.6,36.7,.229,,.497,14.7,66.8,.273
Phoenix Suns,27.9,13,11,.542,13,11,111.0,110.2,+0.8,92.8,.374,.141,.548,,.497,12.5,30.4,.282,,.493,12.5,66.5,.208
Indiana Pacers,27.1,1,3,.250,2,2,110.9,110.6,+0.3,90.3,.420,.137,.578,,.520,14.9,24.2,.330,,.500,13.6,62.7,.231
San Antonio Spurs,27.4,5,5,.500,5,5,107.1,107.0,+0.1,93.1,.315,.094,.527,,.482,12.8,31.4,.236,,.463,11.5,71.6,.276
Charlotte Hornets,25.7,4,5,.444,4,5,105.4,105.5,-0.1,91.9,.327,.062,.517,,.474,14.1,32.9,.235,,.480,14.9,64.0,.189
Portland Trail Blazers,28.5,1,3,.250,2,2,103.9,104.2,-0.3,91.2,.331,.100,.473,,.422,11.2,35.3,.240,,.459,12.6,69.3,.260
New York Knicks,28.4,9,6,.600,7,8,106.5,107.0,-0.5,90.4,.352,.116,.539,,.498,16.2,36.4,.247,,.483,14.5,71.0,.303
Cleveland Cavaliers,29.1,3,6,.333,4,5,105.3,107.5,-2.2,89.1,.278,.113,.531,,.484,15.0,30.2,.223,,.502,14.0,69.3,.198
New Jersey Nets,27.6,2,3,.400,2,3,101.9,105.4,-3.5,91.9,.236,.103,.533,,.494,16.2,27.5,.188,,.476,14.6,68.0,.226
Los Angeles Lakers,28.0,2,3,.400,2,3,103.0,107.0,-4.0,92.3,.259,.134,.486,,.460,11.7,32.0,.163,,.496,12.8,69.4,.213
Utah Jazz,29.7,2,3,.400,2,3,102.3,107.3,-5.0,85.2,.305,.083,.497,,.452,13.8,33.8,.222,,.456,12.0,64.3,.200
Los Angeles Clippers,26.8,2,3,.400,2,3,97.7,102.8,-5.1,94.3,.263,.063,.468,,.438,12.1,30.9,.170,,.497,16.5,72.3,.221
Boston Celtics,28.9,1,3,.250,1,3,107.3,112.9,-5.6,89.0,.192,.078,.516,,.481,13.2,36.5,.159,,.503,11.6,67.9,.231
Atlanta Hawks,27.3,0,3,.000,0,3,102.4,120.3,-17.9,91.1,.316,.144,.492,,.448,13.9,33.3,.224,,.529,11.5,58.8,.198
League Average,27.9,,,,5,5,107.9,107.9,,90.8,.315,.118,.530,,.486,13.6,32.6,.234,,.486,13.6,67.4,.234
