Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
Los Angeles Lakers,27.1,14,7,.667,15,6,114.7,108.0,+6.7,100.1,.320,.039,.574,,.539,13.6,32.4,.230,,.467,13.3,64.2,.264
Boston Celtics,28.0,15,8,.652,15,8,111.6,107.4,+4.2,98.0,.399,.031,.540,,.478,13.5,35.7,.313,,.494,14.5,68.2,.267
Milwaukee Bucks,28.0,8,8,.500,8,8,105.9,105.1,+0.8,96.7,.432,.060,.549,,.490,16.3,31.8,.326,,.441,13.9,66.4,.344
Detroit Pistons,25.4,2,3,.400,3,2,109.2,108.6,+0.6,100.6,.403,.020,.531,,.468,13.6,35.3,.314,,.497,14.8,65.9,.264
New Jersey Nets,25.7,5,6,.455,6,5,102.7,102.2,+0.5,98.6,.433,.046,.503,,.450,14.9,36.3,.297,,.478,18.9,68.8,.341
Phoenix Suns,27.5,9,8,.529,8,9,110.1,110.3,-0.2,97.8,.317,.034,.548,,.503,13.9,33.2,.242,,.499,13.9,67.7,.280
Seattle Supersonics,27.4,2,3,.400,2,3,105.0,105.2,-0.2,90.5,.200,.045,.506,,.478,11.0,28.1,.143,,.432,10.8,68.1,.253
Denver Nuggets,27.2,2,3,.400,2,3,114.8,115.4,-0.6,106.1,.291,.078,.569,,.517,12.4,30.4,.251,,.522,13.3,70.6,.321
Utah Jazz,26.8,5,6,.455,5,6,109.4,110.6,-1.2,100.3,.397,.062,.553,,.494,14.6,31.1,.310,,.488,12.7,67.5,.240
Portland Trail Blazers,25.8,2,3,.400,2,3,112.7,115.3,-2.6,97.5,.444,.029,.545,,.481,12.2,34.6,.342,,.539,13.2,69.5,.263
Philadelphia 76ers,28.3,2,3,.400,2,3,102.5,105.6,-3.1,101.3,.350,.037,.554,,.486,19.0,29.6,.305,,.505,17.7,62.4,.246
Washington Bullets,26.6,1,3,.250,2,2,103.9,107.0,-3.1,87.9,.226,.053,.535,,.492,14.8,27.2,.191,,.467,10.8,72.1,.260
New York Knicks,27.0,6,6,.500,4,8,106.8,111.7,-4.9,99.0,.376,.024,.541,,.490,15.6,34.6,.282,,.485,14.0,62.8,.298
Dallas Mavericks,24.6,4,6,.400,3,7,106.3,113.7,-7.4,93.8,.290,.033,.501,,.443,11.4,33.5,.242,,.525,11.9,67.4,.172
Kansas City Kings,26.0,0,3,.000,1,2,103.4,111.5,-8.1,99.6,.292,.053,.487,,.436,11.7,33.1,.228,,.530,14.7,69.4,.257
Atlanta Hawks,26.4,2,3,.400,1,4,100.4,110.4,-10.0,93.3,.394,.027,.494,,.423,14.6,31.6,.312,,.539,16.8,67.8,.296
League Average,27.0,,,,5,5,108.7,108.7,,97.9,.359,.041,.540,,.487,14.1,33.1,.275,,.487,14.1,66.9,.275
