Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
Boston Celtics,27.7,8,5,.615,9,4,87.7,83.2,+4.5,129.1,.275,,.443,,.392,,,.210,,,,,
Philadelphia Warriors,26.3,4,5,.444,5,4,87.8,86.3,+1.5,129.7,.335,,.447,,.409,,,.207,,,,,
St. Louis Hawks,27.2,7,7,.500,6,8,93.4,94.7,-1.3,112.4,.372,,.477,,.418,,,.275,,,,,
Minneapolis Lakers,25.5,5,4,.556,4,5,91.3,92.9,-1.6,112.8,.355,,.464,,.404,,,.265,,,,,
Detroit Pistons,27.5,0,2,.000,1,1,85.3,91.8,-6.5,123.7,.330,,.428,,.363,,,.256,,,,,
Syracuse Nationals,27.0,1,2,.333,1,2,87.5,97.4,-9.9,125.3,.266,,.441,,.380,,,.225,,,,,
League Average,26.8,,,,4,4,89.7,89.7,,121.1,.326,,.455,,.402,,,.238,,,,,
