Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
Chicago Bulls,27.8,15,7,.682,16,6,112.2,105.3,+6.9,89.0,.350,.083,.547,,.502,12.9,32.8,.257,,.468,14.2,67.8,.277
Portland Trail Blazers,28.6,13,8,.619,13,8,113.6,110.1,+3.5,94.5,.405,.126,.557,,.504,13.6,34.8,.304,,.492,13.7,70.8,.318
Cleveland Cavaliers,28.5,9,8,.529,10,7,112.3,109.6,+2.7,91.7,.356,.109,.561,,.501,13.3,30.8,.295,,.483,11.5,66.8,.182
Phoenix Suns,26.9,4,4,.500,4,4,116.0,114.6,+1.4,99.6,.392,.110,.569,,.506,12.1,31.1,.323,,.515,12.9,66.4,.287
New York Knicks,27.3,6,6,.500,6,6,105.7,104.6,+1.1,84.6,.340,.113,.501,,.449,13.2,38.7,.253,,.464,13.4,70.9,.271
Golden State Warriors,25.8,1,3,.250,2,2,117.2,116.7,+0.5,99.8,.438,.134,.557,,.507,10.5,31.1,.315,,.516,15.6,57.7,.327
Utah Jazz,28.9,9,7,.563,8,8,113.7,113.2,+0.5,89.9,.434,.079,.560,,.491,13.4,33.4,.351,,.503,12.5,67.6,.267
Boston Celtics,29.8,6,4,.600,5,5,114.6,114.4,+0.2,91.6,.266,.035,.541,,.502,10.6,34.0,.204,,.524,12.3,74.9,.290
Seattle Supersonics,27.0,4,5,.444,4,5,113.3,116.6,-3.3,93.1,.365,.135,.560,,.505,14.6,36.8,.289,,.505,11.8,68.0,.325
Los Angeles Clippers,27.7,2,3,.400,2,3,108.4,112.8,-4.4,90.6,.328,.067,.529,,.489,12.3,31.8,.232,,.496,13.5,68.3,.353
Indiana Pacers,26.5,0,3,.000,1,2,111.0,118.6,-7.6,93.7,.426,.186,.562,,.500,12.2,22.2,.335,,.487,10.4,59.2,.289
New Jersey Nets,25.6,1,3,.250,1,3,105.0,113.5,-8.5,96.9,.218,.108,.487,,.457,11.3,32.7,.155,,.479,14.7,60.4,.367
Detroit Pistons,30.0,2,3,.400,1,4,96.9,105.8,-8.9,85.7,.334,.103,.490,,.435,14.9,26.5,.255,,.431,12.6,58.6,.246
San Antonio Spurs,28.4,0,3,.000,1,2,110.1,119.6,-9.5,93.9,.320,.095,.537,,.506,14.0,33.6,.213,,.524,11.5,63.2,.285
Los Angeles Lakers,27.4,1,3,.250,0,4,100.8,116.5,-15.7,91.4,.418,.064,.513,,.445,14.4,25.9,.325,,.532,14.6,58.7,.268
Miami Heat,24.5,0,3,.000,0,3,107.0,126.4,-19.4,92.8,.372,.159,.536,,.487,13.7,27.3,.272,,.543,11.4,57.9,.299
League Average,28.0,,,,5,4,111.4,111.4,,91.7,.364,.101,.545,,.492,13.0,32.8,.280,,.492,13.0,67.2,.280
