Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
Los Angeles Lakers,28.3,15,3,.833,14,4,119.9,108.6,+11.3,100.5,.425,.077,.592,,.536,12.5,33.7,.333,,.481,12.3,67.6,.216
Detroit Pistons,26.9,10,5,.667,10,5,113.9,107.7,+6.2,95.9,.343,.035,.549,,.504,12.0,34.6,.255,,.477,13.9,69.2,.297
Houston Rockets,26.9,5,5,.500,6,4,110.4,108.7,+1.7,96.4,.415,.052,.557,,.498,15.5,34.0,.321,,.463,11.8,64.6,.255
Atlanta Hawks,26.0,4,5,.444,5,4,109.4,108.7,+0.7,91.5,.424,.044,.540,,.482,14.1,34.4,.319,,.470,13.9,66.8,.358
Milwaukee Bucks,28.5,6,6,.500,6,6,115.3,114.8,+0.5,99.1,.382,.075,.545,,.485,10.0,30.1,.303,,.514,13.6,65.9,.314
Boston Celtics,29.5,13,10,.565,11,12,114.7,115.8,-1.1,97.2,.374,.079,.574,,.517,12.6,29.3,.303,,.508,10.1,70.2,.260
Utah Jazz,26.4,2,3,.400,2,3,105.1,106.6,-1.5,95.9,.366,.077,.526,,.471,15.5,35.0,.278,,.482,15.3,68.8,.267
Philadelphia 76ers,27.3,2,3,.400,2,3,111.6,113.2,-1.6,98.6,.378,.046,.555,,.501,14.5,35.5,.293,,.479,10.7,66.2,.280
Seattle Supersonics,26.4,7,7,.500,6,8,110.3,112.3,-2.0,97.7,.310,.072,.518,,.473,11.7,36.2,.232,,.497,14.3,67.3,.367
Indiana Pacers,25.8,1,3,.250,2,2,103.9,107.2,-3.3,91.5,.507,.063,.539,,.484,14.3,25.0,.351,,.493,14.0,73.2,.347
Dallas Mavericks,25.8,1,3,.250,2,2,114.3,118.2,-3.9,101.9,.427,.070,.551,,.494,12.2,33.7,.320,,.516,11.0,63.8,.260
Portland Trail Blazers,27.3,1,3,.250,1,3,109.9,114.5,-4.6,98.9,.412,.043,.534,,.472,13.0,35.7,.316,,.518,15.2,64.9,.301
Golden State Warriors,27.3,4,6,.400,4,6,108.5,113.2,-4.7,98.7,.284,.057,.532,,.484,13.4,32.2,.229,,.515,16.0,61.7,.314
Chicago Bulls,25.4,0,3,.000,1,2,109.4,118.4,-9.0,89.6,.362,.066,.522,,.451,11.1,31.0,.309,,.512,10.0,71.4,.289
Washington Bullets,25.9,0,3,.000,0,3,92.2,111.7,-19.5,98.7,.291,.050,.464,,.412,14.5,28.2,.222,,.511,13.1,65.6,.173
Denver Nuggets,27.0,0,3,.000,0,3,99.8,124.9,-25.1,108.6,.275,.059,.475,,.443,11.4,27.9,.180,,.530,8.6,68.8,.393
League Average,27.4,,,,4,4,112.1,112.1,,97.5,.371,.063,.548,,.495,12.8,32.6,.287,,.495,12.8,67.4,.287
