Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
Boston Celtics,29.3,15,3,.833,14,4,115.0,104.6,+10.4,98.4,.349,.074,.572,,.521,13.2,32.1,.278,,.465,12.7,68.5,.221
Los Angeles Lakers,28.3,8,6,.571,10,4,115.6,107.9,+7.7,99.9,.281,.063,.580,,.546,14.0,33.1,.213,,.498,13.0,70.3,.225
Houston Rockets,25.4,13,7,.650,12,8,110.7,106.9,+3.8,99.0,.322,.027,.528,,.488,12.6,37.1,.230,,.476,13.8,66.9,.236
Philadelphia 76ers,27.9,6,6,.500,7,5,111.4,108.5,+2.9,98.3,.443,.037,.547,,.490,14.3,38.7,.327,,.501,14.6,67.8,.254
Dallas Mavericks,25.8,5,5,.500,5,5,114.4,115.7,-1.3,96.9,.332,.067,.555,,.506,12.5,32.9,.259,,.523,10.7,67.8,.199
Milwaukee Bucks,26.0,7,7,.500,6,8,109.8,112.3,-2.5,100.0,.390,.061,.553,,.507,14.3,31.2,.282,,.504,14.4,65.9,.334
Atlanta Hawks,25.1,4,5,.444,4,5,109.1,111.9,-2.8,99.5,.366,.027,.545,,.499,13.1,30.0,.267,,.504,12.5,67.4,.243
Denver Nuggets,27.9,5,5,.500,4,6,108.2,111.3,-3.1,102.7,.328,.056,.521,,.466,11.6,32.5,.260,,.498,13.8,65.0,.253
Utah Jazz,25.9,1,3,.250,1,3,110.1,114.7,-4.6,93.5,.245,.025,.518,,.487,10.0,32.8,.173,,.486,13.4,64.5,.323
Portland Trail Blazers,27.0,1,3,.250,1,3,108.7,113.5,-4.8,103.5,.356,.063,.554,,.503,15.8,31.5,.276,,.481,11.7,62.9,.291
Detroit Pistons,26.3,1,3,.250,1,3,109.6,114.8,-5.2,101.0,.321,.021,.525,,.482,12.8,35.4,.234,,.518,12.3,69.2,.342
Washington Bullets,27.6,2,3,.400,2,3,104.8,110.8,-6.0,96.0,.317,.056,.511,,.469,13.4,30.8,.227,,.477,13.6,56.3,.252
New Jersey Nets,27.3,0,3,.000,1,2,107.0,117.5,-10.5,98.7,.413,.067,.528,,.469,14.8,35.4,.311,,.537,13.7,65.8,.369
Chicago Bulls,25.4,0,3,.000,1,2,108.0,121.1,-13.1,97.8,.379,.029,.524,,.466,12.0,29.1,.292,,.529,12.5,66.7,.388
Sacramento Kings,26.9,0,3,.000,0,3,102.0,117.2,-15.2,94.1,.332,.037,.469,,.410,14.5,43.6,.254,,.542,13.5,62.2,.245
San Antonio Spurs,27.9,0,3,.000,0,3,91.0,122.3,-31.3,101.1,.261,.040,.497,,.470,16.3,16.7,.169,,.602,16.2,57.4,.223
League Average,27.0,,,,4,4,110.6,110.6,,99.0,.343,.049,.543,,.497,13.3,33.4,.257,,.497,13.3,66.6,.257
