Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
Milwaukee Bucks*,27.3,59,23,61,21,8.04,-0.42,7.61,101.2,93.6,+7.6,105.4,.230,,.527,,.492,16.9,31.3,.175,,.425,15.2,69.4,.192,,Milwaukee Arena,,
Detroit Pistons*,26.2,52,30,52,30,4.06,-0.04,4.02,97.6,93.8,+3.8,106.5,.288,,.505,,.459,17.2,31.3,.220,,.450,17.9,69.6,.197,,Cobo Arena,,177
Boston Celtics*,28.5,56,26,51,31,3.91,-0.49,3.42,98.6,95.1,+3.5,110.0,.263,,.503,,.456,16.8,34.6,.210,,.443,15.2,73.1,.186,,Boston Garden,"355,261",
Chicago Bulls*,28.7,54,28,50,32,3.30,-0.10,3.20,96.7,93.6,+3.1,105.0,.314,,.498,,.446,16.8,29.5,.242,,.460,18.9,69.7,.197,,Chicago Stadium,,
New York Knicks*,28.5,49,33,49,33,2.76,-0.34,2.42,97.4,94.7,+2.7,103.5,.232,,.504,,.465,15.1,25.6,.180,,.446,15.9,72.3,.203,,Madison Square Garden (IV),,
Golden State Warriors,28.4,44,38,48,34,2.56,-0.15,2.42,100.8,98.4,+2.4,108.9,.252,,.506,,.464,15.8,33.8,.196,,.453,14.2,71.2,.195,,Oakland-Alameda County Coliseum Arena,,
Capital Bullets*,26.4,47,35,45,37,1.49,-0.30,1.19,95.6,94.2,+1.4,106.3,.237,,.480,,.441,15.3,30.6,.177,,.451,16.3,70.5,.160,,Capital Centre,,
Los Angeles Lakers*,28.7,47,35,43,39,0.87,-0.02,0.85,97.4,96.6,+0.8,111.7,.313,,.504,,.453,17.7,32.9,.241,,.438,15.7,66.1,.185,,The Forum,"603,145",
Buffalo Braves*,24.4,42,40,41,41,-0.11,-0.08,-0.19,99.3,99.4,-0.1,111.6,.286,,.524,,.480,17.3,29.6,.219,,.467,16.4,69.0,.196,,Buffalo Memorial Auditorium,,
Houston Rockets,25.4,32,50,41,41,-0.13,-0.20,-0.34,100.3,100.5,-0.2,106.1,.279,,.528,,.480,16.8,28.9,.227,,.478,17.0,69.0,.231,,Hofheinz Pavilion,,
Atlanta Hawks,27.1,35,47,37,45,-1.43,-0.04,-1.47,97.7,99.0,-1.3,110.8,.292,,.510,,.465,17.3,31.0,.220,,.468,17.5,70.4,.246,,Omni Coliseum,,
Seattle SuperSonics,26.0,36,46,34,48,-2.55,0.26,-2.29,96.8,99.1,-2.3,110.2,.260,,.489,,.445,15.3,31.1,.199,,.463,17.0,69.8,.244,,Seattle Center Coliseum,,
Phoenix Suns,26.2,30,52,32,50,-3.56,0.36,-3.20,98.1,101.3,-3.2,109.6,.289,,.508,,.460,16.1,28.2,.225,,.467,15.6,69.1,.236,,Arizona Veterans Memorial Coliseum,,
Kansas City-Omaha Kings,26.7,33,49,31,51,-3.73,0.49,-3.24,96.0,99.5,-3.5,106.1,.287,,.506,,.459,17.8,29.6,.222,,.476,17.4,67.9,.201,,Municipal Auditorium,,
Cleveland Cavaliers,26.5,29,53,29,53,-4.33,0.17,-4.16,96.0,100.1,-4.1,104.1,.230,,.480,,.439,15.3,31.3,.177,,.469,16.6,68.7,.231,,Cleveland Arena,,
Portland Trail Blazers,24.7,27,55,29,53,-4.78,0.48,-4.30,98.2,102.6,-4.4,108.5,.275,,.509,,.467,17.5,31.9,.207,,.484,16.6,68.5,.241,,Memorial Coliseum,,
Philadelphia 76ers,28.4,25,57,24,58,-6.37,0.42,-5.94,93.1,99.0,-5.9,108.3,.275,,.480,,.432,16.2,27.6,.212,,.468,17.6,66.7,.210,,The Spectrum,,
League Average,27.0,,,41,41,0.00,0.00,0.00,97.7,97.7,,107.8,.270,,.503,,.459,16.5,30.5,.209,,.459,16.5,69.5,.209,,,"479,203","2,059"
