Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
Boston Celtics*,27.0,44,28,49,23,5.36,-0.58,4.78,88.5,84.0,+4.5,118.0,.361,,.448,,.383,,,.271,,,,,,,Boston Garden,"262,918",
Philadelphia Warriors*,26.7,37,35,40,32,1.58,-0.04,1.54,92.4,90.9,+1.5,108.0,.407,,.469,,.396,,,.316,,,,,,,Convention Hall,,
New York Knicks,27.0,36,36,36,36,-0.14,0.21,0.07,90.6,90.7,-0.1,110.5,.428,,.459,,.387,,,.319,,,,,,,Madison Square Garden (III),,
St. Louis Hawks*,27.7,34,38,36,36,-0.08,-0.19,-0.27,89.0,89.1,-0.1,108.3,.406,,.451,,.383,,,.296,,,,,,,Kiel Auditorium,,
Minneapolis Lakers*,25.5,34,38,34,38,-0.81,-0.08,-0.89,88.5,89.2,-0.7,114.8,.416,,.447,,.371,,,.315,,,,,,,Minneapolis Auditorium,,
Syracuse Nationals*,25.7,38,34,32,40,-1.42,0.39,-1.03,88.3,89.5,-1.2,112.3,.378,,.445,,.369,,,.300,,,,,,,Onondaga War Memorial,,
Rochester Royals,23.4,31,41,30,42,-2.19,0.12,-2.08,84.9,86.9,-2.0,109.4,.353,,.428,,.369,,,.249,,,,,,,Rochester Community War Memorial,,
Fort Wayne Pistons*,26.7,34,38,30,42,-2.31,0.13,-2.18,88.8,91.0,-2.2,107.7,.380,,.450,,.383,,,.283,,,,,,,War Memorial Coliseum,,
League Average,26.3,,,36,36,0.00,-0.01,-0.01,88.9,88.9,,111.1,.391,,.449,,.380,,,.293,,,,,,,,"262,918",
