Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
Chicago Bulls,30.8,15,4,.789,13,6,108.2,101.7,+6.5,85.5,.289,.239,.512,,.470,12.1,34.9,.213,,.469,16.3,72.5,.288
Seattle Supersonics,30.9,6,6,.500,8,4,113.2,108.4,+4.8,91.2,.344,.263,.551,,.494,12.5,32.0,.281,,.491,15.0,69.3,.259
Utah Jazz,29.7,13,7,.650,12,8,110.5,106.7,+3.8,86.6,.408,.181,.547,,.485,13.1,29.3,.320,,.483,12.9,74.2,.282
Houston Rockets,32.7,9,7,.563,9,7,113.3,111.3,+2.0,88.8,.369,.318,.566,,.516,14.5,31.2,.283,,.483,11.8,68.8,.255
New York Knicks,30.0,6,4,.600,6,4,103.7,101.8,+1.9,87.9,.302,.201,.548,,.504,15.9,25.4,.233,,.474,15.3,73.6,.261
Los Angeles Lakers,26.3,4,5,.444,5,4,108.9,107.6,+1.3,86.5,.485,.211,.544,,.481,13.2,28.9,.359,,.468,14.2,69.6,.342
Miami Heat,27.1,8,9,.471,9,8,99.7,99.4,+0.3,86.2,.371,.330,.512,,.467,16.2,27.2,.257,,.442,14.2,71.3,.256
Detroit Pistons,28.7,2,3,.400,2,3,103.9,106.3,-2.4,82.4,.265,.227,.513,,.471,10.3,21.4,.203,,.496,16.8,69.5,.275
Atlanta Hawks,28.9,4,6,.400,4,6,105.5,108.9,-3.4,84.4,.369,.309,.541,,.485,16.4,29.9,.287,,.484,10.9,69.2,.181
Washington Bullets,25.7,0,3,.000,1,2,108.1,114.9,-6.8,87.9,.405,.144,.563,,.505,18.1,32.1,.316,,.492,12.2,60.8,.233
Portland Trail Blazers,26.7,1,3,.250,1,3,104.2,112.4,-8.2,86.1,.373,.233,.528,,.479,15.4,29.6,.271,,.496,12.9,69.2,.399
Orlando Magic,29.1,2,3,.400,1,4,99.3,108.5,-9.2,84.8,.345,.247,.501,,.448,12.9,22.9,.258,,.495,13.7,67.6,.202
Charlotte Hornets,29.5,0,3,.000,1,2,109.9,119.9,-10.0,87.0,.257,.212,.535,,.492,13.0,31.4,.207,,.629,15.3,75.3,.158
Minnesota Timberwolves,25.9,0,3,.000,1,2,110.5,123.1,-12.6,90.2,.203,.188,.516,,.487,8.8,29.6,.150,,.574,13.7,69.2,.294
Phoenix Suns,28.1,2,3,.400,1,4,103.3,116.3,-13.0,95.0,.337,.351,.528,,.478,14.6,23.5,.257,,.516,12.4,68.5,.267
Los Angeles Clippers,25.0,0,3,.000,0,3,106.1,120.6,-14.5,87.0,.382,.240,.527,,.476,12.0,24.0,.280,,.552,13.7,67.6,.389
League Average,29.3,,,,5,4,107.4,107.4,,87.2,.353,.253,.535,,.485,13.9,29.3,.267,,.485,13.9,70.7,.267
