Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
Detroit Pistons,29.3,15,5,.750,15,5,109.7,102.2,+7.5,92.2,.350,.103,.538,,.490,13.8,33.9,.263,,.451,14.1,70.8,.280
San Antonio Spurs,25.3,6,4,.600,7,3,111.0,106.1,+4.9,102.2,.310,.030,.540,,.505,13.4,35.1,.217,,.459,13.5,68.3,.319
Chicago Bulls,26.3,10,6,.625,10,6,109.9,106.2,+3.7,92.7,.371,.109,.538,,.485,13.2,31.8,.282,,.488,16.1,69.3,.334
Phoenix Suns,27.1,9,7,.563,10,6,110.5,107.3,+3.2,97.9,.403,.086,.552,,.490,13.7,30.6,.318,,.469,12.1,67.6,.228
Los Angeles Lakers,28.9,4,5,.444,5,4,112.7,110.0,+2.7,94.1,.350,.118,.568,,.516,14.5,32.1,.280,,.483,12.7,66.1,.268
Cleveland Cavaliers,26.4,2,3,.400,3,2,113.9,111.3,+2.6,93.8,.401,.090,.583,,.531,12.4,25.1,.311,,.480,11.6,69.6,.283
Boston Celtics,31.0,2,3,.400,3,2,119.0,118.4,+0.6,99.9,.363,.082,.616,,.558,15.3,31.9,.313,,.527,10.8,67.8,.263
Utah Jazz,27.8,2,3,.400,2,3,108.0,109.5,-1.5,94.8,.290,.110,.518,,.479,11.5,29.1,.210,,.480,14.0,70.1,.361
Portland Trail Blazers,26.7,12,9,.571,9,12,105.8,108.0,-2.2,99.3,.395,.105,.516,,.463,13.4,33.5,.287,,.491,14.3,67.7,.254
Philadelphia 76ers,27.3,4,6,.400,3,7,109.6,115.0,-5.4,93.2,.385,.103,.546,,.491,13.8,30.4,.297,,.530,12.0,71.3,.263
New York Knicks,28.0,4,6,.400,3,7,110.3,116.6,-6.3,95.2,.337,.082,.541,,.492,12.1,30.8,.259,,.539,14.0,67.2,.249
Houston Rockets,27.3,1,3,.250,1,3,105.6,114.0,-8.4,92.6,.328,.118,.505,,.469,13.0,34.7,.219,,.564,15.9,71.4,.264
Dallas Mavericks,28.3,0,3,.000,1,2,103.2,112.8,-9.6,97.2,.333,.119,.540,,.492,16.2,27.6,.255,,.473,11.6,62.3,.314
Milwaukee Bucks,28.4,1,3,.250,1,3,107.3,117.4,-10.1,94.1,.485,.147,.568,,.503,16.1,26.0,.372,,.529,13.8,63.5,.359
Denver Nuggets,29.6,0,3,.000,1,2,105.1,116.1,-11.0,108.8,.291,.108,.514,,.453,10.2,24.8,.253,,.529,11.8,67.4,.227
Indiana Pacers,26.2,0,3,.000,0,3,103.5,117.4,-13.9,88.6,.320,.101,.529,,.471,14.5,29.5,.263,,.492,11.1,63.3,.249
League Average,27.5,,,,5,4,109.4,109.4,,95.9,.364,.097,.542,,.490,13.5,31.7,.277,,.490,13.5,68.3,.277
