Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
Minneapolis Lakers,27.0,1,2,.333,3,0,103.4,87.5,+15.9,117.0,.658,,.535,,.441,,,.498,,,,,
Philadelphia Warriors,25.6,7,3,.700,7,3,92.6,87.1,+5.5,113.0,.439,,.471,,.398,,,.329,,,,,
Boston Celtics,27.2,1,2,.333,2,1,89.1,86.5,+2.6,114.1,.391,,.450,,.377,,,.301,,,,,
Fort Wayne Pistons,27.1,4,6,.400,5,5,87.5,87.0,+0.5,106.0,.439,,.442,,.371,,,.314,,,,,
Syracuse Nationals,26.0,4,4,.500,2,6,88.4,93.9,-5.5,115.0,.422,,.447,,.374,,,.312,,,,,
St. Louis Hawks,26.5,4,4,.500,1,7,87.4,97.0,-9.6,106.1,.514,,.442,,.362,,,.359,,,,,
League Average,26.4,,,,3,4,90.2,90.2,,110.8,.461,,.458,,.382,,,.337,,,,,
