Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
Golden State Warriors*,25.5,59,23,58,24,6.65,-0.41,6.23,100.6,94.5,+6.1,108.3,.270,,.504,,.462,15.3,33.1,.203,,.444,16.9,69.3,.204,,Oakland-Alameda County Coliseum Arena,,
Cleveland Cavaliers*,26.8,49,33,48,34,2.51,-0.17,2.34,99.5,97.0,+2.5,101.6,.237,,.490,,.454,13.5,29.9,.175,,.454,16.3,69.5,.224,,Coliseum at Richfield,,
Boston Celtics*,29.0,54,28,47,35,2.34,-0.10,2.25,98.9,96.7,+2.2,106.9,.268,,.493,,.446,15.4,34.0,.209,,.449,14.1,74.1,.198,,Boston Garden,"539,589",
Washington Bullets*,28.2,48,34,48,34,2.33,-0.13,2.20,97.5,95.3,+2.2,104.3,.306,,.513,,.472,16.9,27.5,.220,,.442,15.1,71.1,.194,,Capital Centre,,
Buffalo Braves*,26.2,46,36,43,39,0.83,0.02,0.85,99.0,98.2,+0.8,108.2,.324,,.527,,.476,17.3,27.5,.251,,.461,16.1,69.7,.209,,Buffalo Memorial Auditorium,,
Phoenix Suns*,26.2,42,40,43,39,0.61,-0.02,0.59,98.5,97.9,+0.6,105.6,.322,,.521,,.472,18.3,30.6,.245,,.468,17.3,69.1,.229,,Arizona Veterans Memorial Coliseum,,
Philadelphia 76ers*,26.3,46,36,42,40,0.26,0.07,0.33,98.2,98.0,+0.2,107.5,.318,,.494,,.447,16.4,33.8,.234,,.448,17.0,65.2,.230,,The Spectrum,,
Los Angeles Lakers,28.1,40,42,41,41,0.09,0.09,0.18,98.9,98.8,+0.1,108.0,.284,,.511,,.465,15.8,28.5,.219,,.450,14.9,67.5,.197,,The Forum,"524,976",
Seattle SuperSonics*,24.5,43,39,40,42,-0.28,0.14,-0.15,98.3,98.6,-0.3,107.7,.299,,.499,,.458,15.6,31.0,.212,,.467,17.9,66.8,.238,,Seattle Center Coliseum,,
Houston Rockets,25.7,40,42,39,43,-0.80,0.09,-0.71,101.1,101.8,-0.7,104.7,.280,,.531,,.485,16.9,30.0,.221,,.477,15.2,70.3,.208,,The Summit,,
New Orleans Jazz,25.5,38,44,39,43,-0.89,0.15,-0.74,96.6,97.4,-0.8,106.7,.322,,.499,,.447,16.2,29.5,.244,,.458,17.1,70.2,.245,,Louisiana Superdome,,966
Detroit Pistons*,25.8,36,46,38,44,-1.05,-0.13,-1.18,99.2,100.2,-1.0,105.2,.270,,.506,,.464,16.0,30.9,.205,,.467,16.5,67.6,.228,,Cobo Arena,,
New York Knicks,28.7,38,44,38,44,-1.23,0.19,-1.05,98.0,99.2,-1.2,104.1,.263,,.499,,.456,14.3,26.1,.203,,.459,14.7,71.8,.230,,Madison Square Garden (IV),,
Portland Trail Blazers,25.4,37,45,38,44,-1.24,0.13,-1.11,96.4,97.6,-1.2,107.7,.322,,.512,,.469,18.3,29.6,.233,,.452,15.9,71.7,.242,,Memorial Coliseum,,
Milwaukee Bucks*,24.9,38,44,37,45,-1.45,-0.10,-1.55,97.3,98.7,-1.4,103.9,.263,,.503,,.465,16.4,29.6,.193,,.446,14.9,68.6,.218,,MECCA Arena,,
Kansas City Kings,26.2,31,51,33,49,-2.84,0.01,-2.83,97.4,100.1,-2.7,105.7,.316,,.504,,.453,16.0,29.0,.243,,.466,16.2,69.8,.235,,Kemper Arena,,
Chicago Bulls,27.4,24,58,33,49,-2.90,0.01,-2.89,95.2,98.0,-2.8,100.3,.293,,.464,,.414,14.3,32.9,.220,,.467,15.8,74.6,.232,,Chicago Stadium,,
Atlanta Hawks,25.9,29,53,33,49,-2.91,0.26,-2.66,98.4,101.2,-2.8,103.6,.336,,.499,,.450,15.6,31.0,.247,,.480,16.7,68.2,.216,,Omni Coliseum,,
League Average,26.5,,,41,41,0.00,0.01,0.01,98.3,98.3,,105.5,.294,,.504,,.458,16.0,30.3,.221,,.458,16.0,69.7,.221,,,"532,283","2,148"
