Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
Boston Celtics*,28.3,62,18,60,20,8.39,-0.93,7.46,90.9,84.2,+6.7,123.6,.300,,.463,,.414,,,.220,,,,,,,Boston Garden,"246,529",
St. Louis Hawks*,27.1,45,35,48,32,3.03,-0.34,2.68,94.5,91.8,+2.7,115.1,.382,,.483,,.424,,,.281,,,,,,,Kiel Auditorium,,
Cincinnati Royals*,26.5,48,32,46,34,2.30,-0.26,2.04,98.0,96.0,+2.0,115.8,.368,,.504,,.447,,,.278,,,,,,,Cincinnati Gardens,,
Los Angeles Lakers*,26.4,49,31,45,35,1.91,-0.21,1.70,97.4,95.8,+1.6,113.9,.391,,.500,,.437,,,.298,,,,,,,Los Angeles Memorial Sports Arena,"392,004",
Philadelphia 76ers*,27.6,40,40,40,40,-0.15,0.02,-0.13,94.1,94.2,-0.1,119.1,.375,,.481,,.422,,,.277,,,,,,,Convention Hall,,
Baltimore Bullets*,26.1,37,43,35,45,-2.21,0.25,-1.97,96.8,98.7,-1.9,116.2,.407,,.498,,.442,,,.290,,,,,,,Baltimore Civic Center,,
Detroit Pistons,24.4,31,49,31,49,-3.41,0.38,-3.03,90.5,93.3,-2.8,119.2,.306,,.461,,.418,,,.211,,,,,,,Cobo Arena,,
New York Knicks,25.5,31,49,31,49,-3.66,0.41,-3.26,93.2,96.4,-3.2,113.5,.343,,.477,,.426,,,.244,,,,,,,Madison Square Garden (III),,
San Francisco Warriors,25.6,17,63,25,55,-6.18,0.69,-5.49,87.7,92.8,-5.1,119.7,.345,,.446,,.403,,,.221,,,,,,,San Francisco Civic Auditorium,,
League Average,26.4,,,40,40,0.00,0.00,0.00,93.6,93.6,,117.3,.356,,.479,,.426,,,.257,,,,,,,,"319,267",
