Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
Boston Celtics*,27.1,52,20,50,22,6.49,-0.65,5.84,89.5,84.5,+5.0,128.7,.316,,.453,,.395,,,.242,,,,,,,Boston Garden,"244,642",206
Syracuse Nationals*,26.2,35,37,45,27,4.04,-0.30,3.74,92.5,89.2,+3.3,121.0,.353,,.471,,.407,,,.273,,,,,,,Onondaga War Memorial,,
St. Louis Hawks*,28.1,49,23,45,27,3.69,-0.81,2.89,93.3,90.1,+3.2,115.6,.393,,.476,,.410,,,.295,,,,,,,Kiel Auditorium,,
New York Knicks*,25.7,40,32,37,35,0.25,0.24,0.49,93.0,92.7,+0.3,118.0,.391,,.473,,.399,,,.309,,,,,,,Madison Square Garden (III),,
Detroit Pistons*,27.5,28,44,33,39,-1.28,-0.10,-1.36,88.4,89.4,-1.0,117.8,.360,,.447,,.385,,,.266,,,,,,,Detroit Olympia,,
Minneapolis Lakers*,25.7,33,39,33,39,-1.33,-0.09,-1.42,90.8,91.9,-1.1,115.5,.384,,.461,,.392,,,.292,,,,,,,Minneapolis Auditorium,,
Philadelphia Warriors,26.9,32,40,29,43,-3.00,0.71,-2.29,86.7,89.3,-2.6,118.4,.327,,.438,,.381,,,.240,,,,,,,Convention Hall,,
Cincinnati Royals,23.7,19,53,17,55,-8.88,0.99,-7.89,87.5,95.0,-7.5,116.4,.324,,.443,,.389,,,.233,,,,,,,Cincinnati Gardens,,
League Average,26.4,,,36,36,0.00,0.00,0.00,90.2,90.2,,118.9,.355,,.457,,.395,,,.268,,,,,,,,"244,642",29
