Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
Philadelphia 76ers,26.7,11,4,.733,11,4,96.3,88.9,+7.4,125.5,.401,,.496,,.450,,,.267,,,,,
San Francisco Warriors,25.1,9,6,.600,8,7,91.3,90.4,+0.9,128.7,.306,,.465,,.419,,,.218,,,,,
St. Louis Hawks,26.8,5,4,.556,5,4,94.9,94.1,+0.8,120.5,.464,,.485,,.408,,,.351,,,,,
Boston Celtics,29.8,4,5,.444,4,5,91.5,92.8,-1.3,126.4,.307,,.466,,.416,,,.227,,,,,
New York Knicks,24.6,1,3,.250,1,3,88.8,95.7,-6.9,126.7,.306,,.450,,.395,,,.231,,,,,
Los Angeles Lakers,26.7,0,3,.000,1,2,91.0,100.5,-9.5,119.1,.303,,.462,,.410,,,.229,,,,,
Chicago Bulls,25.8,0,3,.000,1,2,92.3,102.1,-9.8,113.0,.304,,.471,,.423,,,.222,,,,,
Cincinnati Royals,27.0,1,3,.250,1,3,94.2,105.4,-11.2,112.0,.199,,.483,,.448,,,.154,,,,,
League Average,26.6,,,,4,4,93.1,93.1,,124.0,.343,,.476,,.424,,,.247,,,,,
