Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
Fort Wayne Pistons*,27.1,43,29,43,29,2.39,-0.38,2.01,91.2,88.9,+2.3,100.7,.453,,.464,,.390,,,.332,,,,,,,War Memorial Coliseum,,
Syracuse Nationals*,26.2,43,29,40,32,1.39,-0.16,1.23,87.5,86.2,+1.3,103.6,.386,,.442,,.372,,,.290,,,,,,,Onondaga War Memorial,,
Minneapolis Lakers*,26.8,40,32,39,33,1.17,-0.21,0.96,89.7,88.6,+1.1,105.5,.389,,.455,,.388,,,.290,,,,,,,Minneapolis Auditorium,,
New York Knicks*,27.1,38,34,36,36,0.08,0.03,0.11,90.2,90.1,+0.1,101.8,.422,,.458,,.389,,,.307,,,,,,,Madison Square Garden (III),,
Boston Celtics*,26.7,36,36,36,36,-0.06,0.05,-0.03,93.0,93.0,0.0,108.6,.414,,.473,,.399,,,.321,,,,,,,Boston Garden,"175,675",
Philadelphia Warriors,25.2,33,39,35,37,-0.26,0.08,-0.19,89.6,89.9,-0.3,102.9,.421,,.454,,.384,,,.309,,,,,,,Convention Hall,,
Rochester Royals*,29.0,29,43,32,40,-1.63,0.19,-1.43,90.7,92.3,-1.6,99.5,.402,,.461,,.399,,,.289,,,,,,,Edgerton Park Arena,,
Milwaukee Hawks,25.9,26,46,28,44,-3.04,0.40,-2.66,86.4,89.4,-3.0,100.5,.442,,.436,,.362,,,.317,,,,,,,Milwaukee Arena,,
Baltimore Bullets,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
League Average,26.5,,,36,36,0.01,0.00,0.00,89.8,89.8,,102.9,.416,,.455,,,,,.307,,,,,,,,"175,675",
