Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
Los Angeles Lakers,27.4,15,4,.789,15,4,117.0,107.6,+9.4,108.0,.349,.044,.592,,.552,13.9,33.0,.264,,.478,13.1,68.8,.256
Boston Celtics,28.7,13,8,.619,12,9,111.3,108.7,+2.6,101.6,.345,.050,.549,,.491,13.5,32.3,.283,,.492,12.7,68.8,.231
Philadelphia 76ers,28.3,8,5,.615,8,5,107.8,105.4,+2.4,99.3,.365,.027,.545,,.493,16.0,35.9,.279,,.484,15.8,67.1,.251
Denver Nuggets,28.2,8,7,.533,8,7,111.6,109.9,+1.7,108.6,.337,.042,.543,,.492,12.7,33.1,.263,,.533,16.3,70.1,.288
Cleveland Cavaliers,26.9,1,3,.250,2,2,110.5,110.5,0.0,101.6,.306,.028,.550,,.507,13.2,30.8,.233,,.477,14.6,65.6,.332
Houston Rockets,25.5,2,3,.400,2,3,100.2,100.3,-0.1,103.8,.317,.044,.461,,.435,12.4,39.4,.180,,.440,16.1,72.5,.366
Detroit Pistons,26.9,5,4,.556,4,5,111.7,113.4,-1.7,103.2,.315,.033,.531,,.480,11.7,34.1,.251,,.512,13.6,67.1,.275
Milwaukee Bucks,25.4,3,5,.375,3,5,109.5,111.8,-2.3,99.5,.402,.066,.566,,.505,17.1,34.8,.323,,.497,14.5,63.7,.290
Dallas Mavericks,24.8,1,3,.250,2,2,115.5,117.9,-2.4,96.8,.433,.066,.558,,.483,12.4,32.3,.361,,.529,12.3,60.5,.190
Utah Jazz,27.0,4,6,.400,4,6,103.6,106.8,-3.2,106.1,.431,.055,.534,,.466,15.1,27.2,.339,,.470,13.1,62.1,.215
Washington Bullets,26.5,1,3,.250,1,3,105.0,109.2,-4.2,96.9,.331,.086,.525,,.485,15.1,33.5,.234,,.500,17.5,57.5,.286
Portland Trail Blazers,25.3,4,5,.444,3,6,111.8,116.5,-4.7,103.0,.307,.041,.535,,.491,12.7,36.7,.232,,.509,13.9,64.1,.350
Chicago Bulls,25.0,1,3,.250,1,3,108.2,113.9,-5.7,97.3,.367,.056,.532,,.472,14.5,36.7,.290,,.514,16.5,65.7,.391
New Jersey Nets,26.4,0,3,.000,1,2,104.6,114.4,-9.8,105.4,.301,.015,.537,,.498,13.7,25.0,.221,,.483,12.0,69.1,.369
San Antonio Spurs,29.0,2,3,.400,1,4,105.3,115.4,-10.1,104.7,.487,.064,.582,,.532,19.3,28.6,.349,,.504,12.0,68.2,.304
Phoenix Suns,26.2,0,3,.000,0,3,105.8,124.4,-18.6,109.4,.343,.048,.556,,.504,16.8,30.4,.273,,.609,14.2,66.4,.265
League Average,27.2,,,,4,4,110.2,110.2,,103.5,.355,.046,.549,,.497,14.1,33.1,.274,,.497,14.1,66.9,.274
