Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
Portland Trail Blazers*,25.3,58,24,57,25,6.15,-0.23,5.92,103.1,97.2,+5.9,104.2,.307,,.528,,.483,16.3,32.0,.233,,.449,16.3,69.4,.239,,Memorial Coliseum,,
Philadelphia 76ers*,26.2,55,27,54,28,5.15,-0.27,4.87,105.0,100.3,+4.7,108.4,.383,,.539,,.486,16.7,34.4,.288,,.461,16.2,66.4,.232,,The Spectrum,,
Phoenix Suns*,25.5,49,33,51,31,3.73,-0.24,3.50,100.3,97.0,+3.3,111.4,.297,,.520,,.476,16.6,29.8,.223,,.469,18.6,68.2,.229,,Arizona Veterans Memorial Coliseum,,
San Antonio Spurs*,26.9,52,30,49,33,3.35,-0.15,3.20,104.5,101.4,+3.1,109.0,.294,,.547,,.500,16.3,28.6,.237,,.472,15.7,65.9,.185,,HemisFair Arena,,
Los Angeles Lakers*,25.8,45,37,48,34,2.67,-0.08,2.59,103.3,100.8,+2.5,106.1,.273,,.526,,.487,15.3,30.4,.205,,.463,15.2,66.0,.194,,The Forum,"534,017",
Seattle SuperSonics*,26.0,47,35,45,37,1.55,-0.06,1.48,99.2,97.7,+1.5,104.8,.305,,.489,,.447,15.8,35.9,.217,,.459,16.5,69.9,.226,,Seattle Center Coliseum,,
Washington Bullets*,27.4,44,38,43,39,0.93,-0.10,0.82,101.3,100.5,+0.8,108.1,.342,,.506,,.461,15.3,33.5,.243,,.467,13.9,70.7,.178,,Capital Centre,,
Denver Nuggets*,25.2,48,34,43,39,0.83,-0.03,0.80,102.3,101.5,+0.8,108.5,.364,,.531,,.477,16.8,31.6,.278,,.472,15.5,68.3,.223,,McNichols Sports Arena,,
Cleveland Cavaliers*,27.8,43,39,42,40,0.48,-0.04,0.44,99.9,99.4,+0.5,103.5,.275,,.496,,.454,13.8,29.9,.204,,.456,14.7,68.8,.207,,Coliseum at Richfield,,477
Golden State Warriors,26.6,43,39,42,40,0.34,0.07,0.41,99.6,99.3,+0.3,106.0,.272,,.507,,.467,15.0,29.7,.203,,.465,17.1,68.9,.247,,Oakland-Alameda County Coliseum Arena,,
Atlanta Hawks*,25.0,41,41,41,41,-0.13,0.01,-0.13,99.7,99.8,-0.1,103.3,.319,,.514,,.460,16.1,30.8,.253,,.474,19.9,67.0,.329,,Omni Coliseum,,
New York Knicks*,27.0,43,39,40,42,-0.55,0.02,-0.53,101.7,102.2,-0.5,109.7,.284,,.528,,.488,16.7,31.0,.214,,.472,15.8,68.2,.262,,Madison Square Garden (IV),,
Milwaukee Bucks*,23.8,44,38,40,42,-0.59,-0.01,-0.59,101.8,102.4,-0.6,108.7,.282,,.520,,.482,15.9,32.1,.204,,.481,16.9,66.8,.237,,MECCA Arena,,
Chicago Bulls,26.5,40,42,39,43,-0.89,0.10,-0.79,102.0,102.9,-0.9,101.5,.351,,.524,,.473,17.0,34.5,.265,,.490,15.4,70.8,.202,,Chicago Stadium,,
Detroit Pistons,25.9,38,44,38,44,-1.24,0.03,-1.22,100.3,101.5,-1.2,107.7,.335,,.524,,.478,17.9,33.0,.247,,.479,16.6,67.6,.216,,Cobo Arena,,
Kansas City Kings,26.1,31,51,36,46,-1.89,0.13,-1.76,100.5,102.2,-1.7,108.2,.293,,.514,,.466,16.2,31.0,.230,,.474,16.3,68.1,.266,,Kemper Arena,,
New Orleans Jazz,26.7,39,43,36,46,-1.87,0.06,-1.80,98.9,100.6,-1.7,108.3,.302,,.505,,.462,16.2,32.3,.219,,.461,14.5,69.5,.209,,Louisiana Superdome,,
Boston Celtics,29.7,32,50,36,46,-1.95,0.09,-1.86,99.1,100.9,-1.8,105.9,.283,,.505,,.458,16.1,32.4,.220,,.456,13.9,71.4,.226,,Boston Garden,"437,937",
Indiana Pacers,24.7,31,51,35,47,-2.50,0.13,-2.37,99.6,101.9,-2.3,108.2,.329,,.500,,.450,15.6,33.2,.245,,.474,16.8,66.0,.240,,Market Square Arena,,
Buffalo Braves,27.1,27,55,31,51,-3.74,0.19,-3.55,100.3,103.8,-3.5,104.3,.316,,.518,,.466,15.9,29.5,.247,,.476,14.7,68.3,.223,,Buffalo Memorial Auditorium,,
Houston Rockets,25.4,28,54,30,52,-4.00,0.17,-3.83,102.2,106.1,-3.9,101.3,.247,,.499,,.458,13.9,34.0,.191,,.482,14.4,67.0,.229,,The Summit,,
New Jersey Nets,25.5,24,58,26,56,-5.82,0.21,-5.61,95.0,100.2,-5.2,110.9,.288,,.485,,.443,16.4,30.4,.206,,.465,17.4,66.4,.280,,Rutgers Athletic Center,,64
League Average,26.2,,,41,41,0.00,0.00,0.00,100.9,100.9,,106.7,.306,,.515,,.469,16.0,31.8,.230,,.469,16.0,68.2,.230,,,"485,977",25
