Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
Minneapolis Lakers,27.4,9,4,.692,10,3,92.2,85.1,+7.1,87.1,.451,,.470,,.400,,,.326,,,,,
Syracuse Nationals,25.5,9,4,.692,7,6,94.3,92.7,+1.6,85.7,.668,,.483,,.396,,,.459,,,,,
Boston Celtics,26.5,2,4,.333,2,4,92.9,95.2,-2.3,92.0,.574,,.473,,.379,,,.426,,,,,
Rochester Royals,29.3,3,3,.500,2,4,93.6,97.1,-3.5,85.6,.532,,.478,,.397,,,.385,,,,,
Fort Wayne Pistons,27.2,0,4,.000,1,3,84.9,94.6,-9.7,89.6,.376,,.426,,.356,,,.281,,,,,
New York Knicks,27.1,0,4,.000,1,3,94.4,104.5,-10.1,83.7,.716,,.481,,.368,,,.528,,,,,
League Average,26.9,,,,4,4,92.6,92.6,,87.1,.550,,.472,,.389,,,.394,,,,,
