Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
Detroit Pistons,27.8,14,9,.609,15,8,107.6,102.7,+4.9,91.1,.354,.043,.522,,.470,12.7,33.4,.267,,.453,13.7,72.0,.290
Los Angeles Lakers,29.2,15,9,.625,14,10,114.1,111.4,+2.7,92.5,.338,.074,.562,,.514,13.0,33.5,.264,,.487,12.4,65.0,.229
Atlanta Hawks,27.0,6,6,.500,7,5,115.7,114.2,+1.5,93.9,.335,.053,.559,,.510,11.1,31.1,.263,,.513,14.3,66.6,.330
Utah Jazz,26.7,6,5,.545,6,5,108.7,107.6,+1.1,95.1,.397,.069,.554,,.497,14.8,27.2,.307,,.471,13.0,62.1,.211
Boston Celtics,30.7,9,8,.529,9,8,110.1,109.1,+1.0,92.3,.388,.086,.554,,.491,13.8,30.0,.317,,.484,12.3,69.8,.243
Dallas Mavericks,27.0,10,7,.588,8,9,114.7,114.8,-0.1,94.1,.314,.063,.547,,.504,13.1,38.2,.237,,.499,11.1,65.6,.223
Seattle Supersonics,25.6,2,3,.400,2,3,114.9,115.5,-0.6,99.4,.318,.087,.561,,.528,13.2,34.3,.224,,.468,9.6,69.1,.362
Milwaukee Bucks,28.5,2,3,.400,2,3,113.7,115.0,-1.3,95.5,.430,.063,.549,,.487,13.3,36.9,.332,,.523,12.6,69.3,.302
Cleveland Cavaliers,24.9,2,3,.400,2,3,108.0,109.8,-1.8,92.9,.328,.060,.544,,.502,14.5,30.2,.241,,.464,11.2,62.8,.199
Denver Nuggets,29.0,5,6,.455,5,6,111.7,114.1,-2.4,99.2,.310,.117,.524,,.468,9.6,31.6,.256,,.519,13.8,65.3,.261
Houston Rockets,27.6,1,3,.250,2,2,109.7,112.3,-2.6,95.3,.342,.072,.527,,.465,12.9,35.8,.281,,.507,13.8,66.7,.255
Portland Trail Blazers,27.1,1,3,.250,1,3,103.1,107.3,-4.2,101.2,.273,.081,.485,,.440,13.1,37.8,.206,,.525,17.8,77.9,.392
Chicago Bulls,24.9,4,6,.400,4,6,102.1,106.5,-4.4,92.8,.249,.036,.502,,.456,13.6,32.1,.202,,.472,13.1,67.7,.238
Washington Bullets,27.1,2,3,.400,2,3,105.9,110.3,-4.4,89.9,.415,.023,.520,,.462,14.0,32.5,.306,,.471,13.5,59.4,.274
San Antonio Spurs,26.0,0,3,.000,1,2,103.9,114.0,-10.1,105.6,.230,.069,.513,,.483,14.4,30.6,.165,,.559,16.6,64.2,.264
New York Knicks,25.1,1,3,.250,1,3,105.2,117.1,-11.9,94.4,.264,.135,.511,,.463,14.0,32.9,.216,,.522,13.8,67.3,.354
League Average,27.7,,,,5,5,110.4,110.4,,94.0,.337,.068,.539,,.488,13.0,32.9,.262,,.488,13.0,67.1,.262
