Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
Seattle SuperSonics*,27.7,55,27,59,23,7.07,-0.42,6.66,112.3,104.9,+7.4,96.0,.316,.085,.546,,.502,13.5,35.5,.241,,.489,16.4,67.7,.260,,Seattle Center Coliseum,"646,589","13,453"
Chicago Bulls*,28.1,57,25,58,24,6.29,-0.10,6.19,112.9,106.1,+6.8,92.5,.271,.093,.535,,.499,12.0,36.3,.199,,.493,15.4,68.7,.239,,Chicago Stadium,"759,656","18,528"
Cleveland Cavaliers*,28.8,54,28,58,24,6.45,-0.15,6.30,112.7,106.0,+6.7,94.8,.308,.108,.565,,.518,12.5,28.1,.247,,.482,13.1,69.1,.185,,Coliseum at Richfield,"751,465","18,328"
Phoenix Suns*,28.2,62,20,57,25,6.66,-0.39,6.27,113.3,106.7,+6.6,99.8,.358,.154,.566,,.521,14.2,33.0,.270,,.496,13.9,69.2,.206,,America West Arena,"779,943","19,023"
New York Knicks*,28.3,60,22,58,24,6.16,-0.29,5.87,106.1,99.7,+6.4,94.5,.336,.088,.526,,.479,14.1,33.1,.249,,.444,14.9,72.1,.294,,Madison Square Garden (IV),"804,840","19,630"
Houston Rockets*,27.4,55,27,53,29,4.23,-0.66,3.57,109.6,105.2,+4.4,94.4,.310,.159,.557,,.515,14.5,30.0,.235,,.474,13.4,68.5,.201,,The Summit,"554,210","13,492"
Portland Trail Blazers*,28.2,51,31,49,33,3.11,-0.19,2.92,108.3,105.2,+3.1,99.1,.347,.115,.526,,.476,12.6,32.7,.259,,.488,14.8,71.0,.237,,Memorial Coliseum,"528,408","12,888"
San Antonio Spurs*,27.5,49,33,48,34,2.67,-0.46,2.21,109.6,106.8,+2.8,95.4,.347,.102,.555,,.507,13.6,27.8,.265,,.477,12.3,70.1,.221,,HemisFair Arena,"658,337","16,057"
Utah Jazz*,29.3,47,35,47,35,2.17,-0.43,1.74,109.6,107.4,+2.2,96.5,.365,.061,.550,,.498,13.8,31.0,.279,,.487,13.9,68.7,.250,,Delta Center,"815,892","19,900"
Indiana Pacers*,26.8,41,41,46,36,1.70,0.08,1.77,111.9,110.1,+1.8,96.0,.342,.112,.547,,.498,13.5,34.2,.262,,.485,12.7,67.4,.281,,Market Square Arena,"530,891","12,949"
