Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
Boston Celtics,28.1,8,6,.571,9,5,90.4,86.6,+3.8,126.2,.318,,.459,,.407,,,.234,,,,,
Cincinnati Royals,25.0,1,3,.250,2,2,101.4,99.4,+2.0,115.7,.316,,.524,,.468,,,.257,,,,,
Los Angeles Lakers,26.1,7,6,.538,7,6,96.5,95.6,+0.9,121.0,.430,,.494,,.422,,,.330,,,,,
Philadelphia Warriors,26.5,6,6,.500,6,6,88.6,89.2,-0.6,119.7,.391,,.449,,.386,,,.280,,,,,
Detroit Pistons,26.1,5,5,.500,4,6,93.8,98.0,-4.2,122.9,.344,,.480,,.428,,,.250,,,,,
Syracuse Nationals,27.0,2,3,.400,1,4,86.2,91.6,-5.4,115.1,.298,,.433,,.370,,,.241,,,,,
League Average,26.7,,,,5,5,92.4,92.4,,121.5,.360,,.471,,.411,,,.269,,,,,
