Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
New York Knicks,28.7,12,5,.706,11,6,100.2,95.3,+4.9,102.4,.237,,.518,,.484,,,.177,,.449,,,.211
Los Angeles Lakers,30.9,9,8,.529,11,6,95.4,91.5,+3.9,107.8,.325,,.498,,.454,,,.232,,.419,,,.165
Milwaukee Bucks,26.7,2,4,.333,4,2,96.2,93.8,+2.4,103.1,.257,,.490,,.451,,,.189,,.440,,,.188
Boston Celtics,27.9,7,6,.538,7,6,97.3,95.8,+1.5,109.3,.253,,.501,,.459,,,.196,,.459,,,.172
Chicago Bulls,28.1,3,4,.429,3,4,91.3,94.0,-2.7,105.8,.236,,.453,,.413,,,.175,,.453,,,.212
Atlanta Hawks,27.4,2,4,.333,2,4,91.5,98.2,-6.7,116.7,.216,,.461,,.433,,,.143,,.477,,,.178
Golden State Warriors,28.8,5,6,.455,3,8,90.7,98.0,-7.3,107.9,.217,,.460,,.416,,,.175,,.463,,,.212
Baltimore Bullets,26.8,1,4,.200,1,4,96.6,104.8,-8.2,99.0,.239,,.508,,.479,,,.164,,.509,,,.167
League Average,28.6,,,,5,5,95.5,95.5,,106.5,.254,,.490,,.451,,,.188,,.451,,,.188
