Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
Boston Celtics,28.7,8,4,.667,8,4,91.1,85.7,+5.4,127.1,.292,,.464,,.414,,,.217,,,,,
Baltimore Bullets,26.0,5,5,.500,5,5,97.0,96.4,+0.6,118.1,.396,,.499,,.442,,,.288,,,,,
Philadelphia 76ers,27.7,6,5,.545,6,5,96.0,95.8,+0.2,114.3,.410,,.493,,.438,,,.288,,,,,
St. Louis Hawks,27.7,1,3,.250,1,3,89.5,93.0,-3.5,121.8,.340,,.454,,.395,,,.254,,,,,
Los Angeles Lakers,25.7,5,6,.455,4,7,98.8,102.9,-4.1,115.7,.406,,.508,,.440,,,.317,,,,,
Cincinnati Royals,26.3,1,3,.250,1,3,97.6,102.4,-4.8,110.9,.312,,.499,,.432,,,.271,,,,,
League Average,27.1,,,,4,4,95.1,95.1,,118.6,.363,,.487,,.429,,,.272,,,,,
