Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
Syracuse Nationals*,25.5,42,30,50,22,4.90,-0.64,4.27,88.2,83.0,+5.2,93.5,.475,,.446,,.368,,,.341,,,,,,,Onondaga War Memorial,,
Minneapolis Lakers*,27.3,46,26,45,27,3.06,-0.35,2.71,86.8,83.5,+3.3,93.5,.356,,.438,,.376,,,.261,,,,,,,Minneapolis Auditorium,,
Rochester Royals*,29.2,44,28,44,28,2.43,-0.20,2.24,86.6,84.0,+2.6,90.9,.462,,.438,,.369,,,.316,,,,,,,Edgerton Park Arena,,
Boston Celtics*,26.4,42,30,43,29,2.33,-0.32,1.97,92.5,90.0,+2.5,93.0,.457,,.471,,.400,,,.332,,,,,,,Boston Garden,"156,912",
Fort Wayne Pistons*,26.8,40,32,41,31,1.63,-0.18,1.45,89.0,87.2,+1.8,86.9,.446,,.451,,.376,,,.326,,,,,,,War Memorial Coliseum,,
New York Knicks*,27.1,44,28,36,36,-0.13,-0.02,-0.16,89.3,89.4,-0.1,87.4,.488,,.452,,.374,,,.352,,,,,,,Madison Square Garden (III),,
Philadelphia Warriors,24.8,29,43,29,43,-2.14,0.22,-1.89,86.7,89.0,-2.3,89.4,.418,,.438,,.372,,,.292,,,,,,,Convention Hall,,
Milwaukee Hawks,26.1,21,51,19,53,-5.29,0.75,-4.55,82.9,89.2,-6.3,84.2,.433,,.416,,.345,,,.300,,,,,,,Milwaukee Arena,,
Baltimore Bullets,24.1,16,56,17,55,-6.76,0.79,-5.98,85.2,92.6,-7.4,91.3,.417,,.430,,.368,,,.283,,,,,,,Baltimore Coliseum,,
League Average,26.3,,,36,36,0.00,0.01,0.01,87.5,87.5,,90.0,.438,,.442,,.372,,,.311,,,,,,,,"156,912",
