Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
Minneapolis Lakers*,25.9,40,26,49,17,6.03,-0.75,5.28,85.3,79.3,+6.0,97.2,.335,,.429,,.367,,,.250,,,,,,,Minneapolis Auditorium,,
Syracuse Nationals*,25.8,40,26,45,21,4.45,-0.52,3.94,89.2,84.6,+4.6,96.1,.497,,.451,,.364,,,.371,,,,,,,Onondaga War Memorial,,
Boston Celtics*,24.9,39,27,43,23,4.08,-0.47,3.60,90.4,86.4,+4.0,100.0,.437,,.459,,.387,,,.320,,,,,,,Boston Garden,"160,167",
Rochester Royals*,28.9,41,25,42,24,3.35,-0.43,2.92,91.6,88.1,+3.5,92.7,.416,,.465,,.389,,,.321,,,,,,,Edgerton Park Arena,,
New York Knicks*,25.5,37,29,35,31,0.74,-0.07,0.67,88.7,87.9,+0.8,94.9,.414,,.449,,.383,,,.296,,,,,,,Madison Square Garden (III),,
Indianapolis Olympians*,24.5,34,32,33,33,0.12,-0.04,0.08,85.2,85.1,+0.1,96.7,.356,,.429,,.367,,,.258,,,,,,,Hinkle Fieldhouse,,
Philadelphia Warriors*,26.6,33,33,30,36,-1.26,0.17,-1.08,89.5,90.8,-1.3,95.5,.399,,.453,,.380,,,.304,,,,,,,Philadelphia Arena,,
Fort Wayne Pistons*,26.5,29,37,27,39,-2.05,0.22,-1.83,85.6,87.9,-2.3,90.1,.438,,.431,,.353,,,.321,,,,,,,North Side High School Gym,,
Baltimore Bullets,27.3,20,46,15,51,-7.50,0.92,-6.60,83.0,90.6,-7.6,97.3,.402,,.416,,.342,,,.294,,,,,,,Baltimore Coliseum,,
Milwaukee Hawks,26.6,17,49,13,53,-7.94,0.93,-7.04,80.4,89.1,-8.7,90.7,.431,,.402,,.331,,,.294,,,,,,,Milwaukee Arena,,
League Average,26.3,,,33,33,0.00,0.00,-0.01,86.9,86.9,,95.1,.411,,.438,,.367,,,.302,,,,,,,,"160,167",
