Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
Boston Celtics,27.6,6,5,.545,7,4,86.5,82.0,+4.5,123.5,.365,,.435,,.363,,,.285,,,,,
St. Louis Hawks,28.2,8,3,.727,6,5,92.5,90.4,+2.1,118.4,.475,,.472,,.404,,,.334,,,,,
Detroit Pistons,28.0,3,4,.429,3,4,89.6,91.6,-2.0,117.6,.435,,.453,,.373,,,.332,,,,,
Philadelphia Warriors,26.9,3,5,.375,3,5,82.4,85.0,-2.6,114.5,.301,,.413,,.355,,,.224,,,,,
Syracuse Nationals,26.5,1,2,.333,1,2,79.6,82.8,-3.2,111.9,.345,,.396,,.324,,,.263,,,,,
Cincinnati Royals,26.1,0,2,.000,0,2,76.5,91.6,-15.1,122.2,.330,,.380,,.321,,,.228,,,,,
League Average,27.5,,,,4,3,86.9,86.9,,118.6,.388,,.438,,.368,,,.289,,,,,
