Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
Detroit Pistons,28.3,15,2,.882,13,4,113.2,104.5,+8.7,88.9,.367,.104,.541,,.489,11.5,33.7,.279,,.466,12.4,74.4,.283
Phoenix Suns,26.0,7,5,.583,8,4,113.4,106.6,+6.8,104.4,.320,.092,.545,,.488,12.7,35.0,.269,,.486,13.3,72.6,.234
Los Angeles Lakers,29.8,11,4,.733,10,5,115.8,110.9,+4.9,95.4,.430,.121,.577,,.518,13.3,32.4,.336,,.483,11.8,66.2,.224
Houston Rockets,26.8,1,3,.250,2,2,108.5,108.2,+0.3,98.2,.383,.086,.538,,.488,14.3,30.5,.280,,.486,14.2,63.1,.261
Chicago Bulls,26.5,9,8,.529,9,8,108.0,107.8,+0.2,91.1,.372,.156,.548,,.497,14.9,30.8,.282,,.474,13.7,66.2,.280
Atlanta Hawks,28.3,2,3,.400,2,3,114.1,114.8,-0.7,86.8,.491,.117,.540,,.467,12.1,37.6,.379,,.494,12.3,69.8,.303
Cleveland Cavaliers,26.5,2,3,.400,2,3,105.3,106.2,-0.9,90.4,.399,.085,.533,,.483,14.6,29.4,.286,,.481,13.8,67.5,.222
New York Knicks,25.5,5,4,.556,4,5,110.4,112.3,-1.9,94.5,.349,.142,.544,,.501,14.1,34.6,.254,,.518,14.2,69.6,.282
Philadelphia 76ers,28.2,0,3,.000,1,2,107.2,109.9,-2.7,95.2,.306,.079,.527,,.491,11.0,24.1,.215,,.500,13.6,65.2,.245
Seattle Supersonics,25.9,3,5,.375,3,5,107.1,112.5,-5.4,95.2,.314,.114,.510,,.469,13.6,38.7,.223,,.491,14.0,66.1,.341
Milwaukee Bucks,28.7,3,6,.333,3,6,110.5,116.1,-5.6,86.0,.342,.101,.539,,.477,11.1,26.8,.287,,.487,11.9,63.1,.335
Golden State Warriors,26.1,4,4,.500,2,6,106.9,113.4,-6.5,102.7,.282,.136,.521,,.469,12.1,29.7,.232,,.477,14.1,58.4,.257
Denver Nuggets,30.6,0,3,.000,1,2,104.7,113.4,-8.7,107.6,.271,.137,.532,,.486,13.6,23.4,.218,,.494,13.1,70.8,.398
Utah Jazz,27.5,0,3,.000,1,2,105.8,114.5,-8.7,99.6,.331,.126,.513,,.450,15.4,37.2,.275,,.511,11.4,71.1,.254
Boston Celtics,27.7,0,3,.000,1,2,97.4,108.9,-11.5,92.8,.268,.032,.485,,.444,13.1,23.6,.196,,.498,10.5,72.8,.211
Portland Trail Blazers,26.9,0,3,.000,1,2,109.8,122.1,-12.3,97.5,.262,.103,.510,,.470,11.3,36.3,.199,,.556,14.2,62.3,.327
League Average,27.4,,,,4,4,110.2,110.2,,94.4,.353,.115,.539,,.487,13.0,32.3,.273,,.487,13.0,67.7,.273
