Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
San Antonio Spurs,30.1,15,2,.882,13,4,103.6,95.1,+8.5,85.4,.406,.168,.535,,.480,14.7,26.1,.301,,.417,13.0,71.8,.213
Indiana Pacers,31.2,9,4,.692,8,5,107.1,103.0,+4.1,86.7,.380,.242,.540,,.485,15.0,30.4,.290,,.453,12.5,71.6,.259
New York Knicks,28.6,12,8,.600,12,8,100.1,97.8,+2.3,84.9,.322,.154,.501,,.451,12.9,25.8,.244,,.437,14.3,74.9,.289
Utah Jazz,30.5,5,6,.455,6,5,101.4,99.3,+2.1,86.3,.377,.128,.510,,.451,14.3,28.0,.287,,.435,13.9,73.5,.312
Philadelphia 76ers,25.9,3,5,.375,4,4,103.9,103.3,+0.6,85.9,.298,.128,.480,,.437,12.2,37.5,.213,,.451,15.8,66.3,.299
Portland Trail Blazers,27.5,7,6,.538,6,7,102.1,102.6,-0.5,84.4,.452,.160,.518,,.451,13.7,25.9,.340,,.463,13.5,73.9,.270
Houston Rockets,30.6,1,3,.250,2,2,106.8,109.3,-2.5,90.8,.351,.262,.517,,.463,12.0,30.8,.268,,.508,11.5,74.7,.217
Los Angeles Lakers,27.0,3,5,.375,3,5,103.4,106.6,-3.2,90.9,.367,.196,.508,,.473,12.4,27.2,.235,,.481,14.0,71.7,.317
Atlanta Hawks,30.5,3,6,.333,3,6,97.2,100.6,-3.4,82.0,.310,.206,.470,,.415,13.6,29.8,.238,,.461,13.4,71.6,.192
Detroit Pistons,28.1,2,3,.400,2,3,100.2,104.0,-3.8,79.1,.192,.125,.487,,.452,12.5,29.9,.152,,.484,14.9,70.6,.202
Miami Heat,29.9,2,3,.400,2,3,98.4,103.4,-5.0,80.3,.397,.274,.494,,.441,12.9,21.9,.279,,.471,13.4,71.0,.225
Sacramento Kings,26.2,2,3,.400,2,3,97.8,103.0,-5.2,88.9,.332,.279,.497,,.446,16.2,29.2,.246,,.460,14.7,68.4,.250
Orlando Magic,28.7,1,3,.250,1,3,98.8,105.9,-7.1,87.3,.437,.295,.490,,.422,17.2,33.7,.325,,.452,14.4,58.1,.245
Minnesota Timberwolves,27.5,1,3,.250,1,3,95.2,102.6,-7.4,84.6,.226,.099,.453,,.412,13.4,32.2,.173,,.459,12.6,73.1,.275
Milwaukee Bucks,27.6,0,3,.000,1,2,104.4,115.7,-11.3,88.2,.391,.187,.542,,.484,15.7,27.0,.302,,.508,15.0,65.3,.310
Phoenix Suns,29.0,0,3,.000,1,2,101.7,113.1,-11.4,90.8,.269,.231,.512,,.473,13.2,24.0,.198,,.558,17.3,74.7,.432
League Average,28.9,,,,4,4,101.8,101.8,,85.7,.354,.184,.508,,.455,13.8,28.4,.264,,.455,13.8,71.6,.264
