Team,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA
San Antonio Spurs,29.3,9,6,.600,10,5,108.3,103.1,+5.2,89.7,.393,.151,.530,,.473,13.6,32.3,.299,,.467,13.2,71.8,.228
New York Knicks,29.9,6,5,.545,7,4,107.2,102.7,+4.5,86.2,.401,.244,.570,,.533,16.8,27.7,.276,,.465,16.8,71.9,.350
Phoenix Suns,29.7,6,4,.600,6,4,118.4,114.1,+4.3,92.8,.405,.228,.580,,.522,11.7,30.7,.323,,.526,10.7,76.0,.248
Seattle Supersonics,28.5,1,3,.250,3,1,111.4,107.1,+4.3,87.3,.298,.224,.534,,.491,13.9,36.9,.227,,.500,15.5,70.8,.290
Houston Rockets,29.0,15,7,.682,13,9,115.2,112.2,+3.0,92.0,.352,.275,.580,,.537,11.5,23.5,.266,,.505,12.7,70.1,.271
Indiana Pacers,28.4,10,7,.588,9,8,112.6,111.2,+1.4,87.1,.443,.208,.558,,.496,15.1,34.8,.341,,.536,14.0,72.7,.261
Orlando Magic,26.3,11,10,.524,11,10,114.0,112.6,+1.4,89.4,.376,.277,.568,,.536,14.0,31.6,.252,,.495,12.9,66.7,.276
Chicago Bulls,28.5,5,5,.500,5,5,111.3,110.2,+1.1,87.5,.313,.194,.541,,.501,13.3,32.7,.229,,.488,14.7,65.4,.328
Charlotte Hornets,28.5,1,3,.250,1,3,106.4,110.7,-4.3,84.7,.404,.226,.529,,.460,15.3,34.0,.327,,.526,15.6,66.9,.198
Utah Jazz,30.2,2,3,.400,2,3,115.9,120.4,-4.5,89.7,.459,.184,.577,,.527,12.4,27.0,.333,,.598,13.8,79.6,.360
Los Angeles Lakers,25.1,5,5,.500,3,7,100.8,106.3,-5.5,88.2,.349,.256,.503,,.457,13.8,28.6,.246,,.465,14.8,64.9,.249
Cleveland Cavaliers,28.6,1,3,.250,1,3,97.0,106.7,-9.7,85.1,.438,.225,.518,,.455,16.1,19.3,.326,,.569,20.7,71.1,.248
Atlanta Hawks,28.3,0,3,.000,1,2,101.7,113.8,-12.1,87.9,.410,.295,.500,,.441,12.7,27.6,.300,,.502,13.1,66.1,.311
Boston Celtics,28.0,1,3,.250,1,3,99.0,112.8,-13.8,87.1,.297,.177,.483,,.435,16.4,37.9,.222,,.489,13.2,61.9,.286
Portland Trail Blazers,29.7,0,3,.000,0,3,111.3,127.4,-16.1,91.3,.396,.179,.541,,.513,10.5,26.4,.246,,.567,11.6,70.5,.418
Denver Nuggets,26.7,0,3,.000,0,3,102.5,119.4,-16.9,90.7,.361,.227,.517,,.457,16.2,33.3,.283,,.520,11.6,72.3,.430
League Average,28.3,,,,5,4,110.6,110.6,,89.0,.380,.230,.551,,.504,13.7,30.1,.280,,.504,13.7,69.9,.280
